time,photons,energy
1.0,272,7
2.0,850,6
3.0,269,3
4.0,457,3
5.0,886,3
6.0,230,8
7.0,431,8
8.0,587,8
9.0,562,8
10.0,688,5
11.0,753,4
12.0,94,2
13.0,486,6
14.0,973,6
15.0,277,3
16.0,795,7
17.0,443,3
18.0,162,6
19.0,881,8
20.0,361,2
21.0,975,6
22.0,775,8
23.0,883,7
24.0,357,8
25.0,376,2
26.0,444,1
27.0,860,1
28.0,583,6
29.0,605,2
30.0,999,6
31.0,794,2
32.0,513,4
33.0,602,6
34.0,280,3
35.0,394,8
36.0,513,6
37.0,909,2
38.0,909,4
39.0,277,7
40.0,379,4
41.0,618,8
42.0,974,2
43.0,858,3
44.0,166,8
45.0,367,7
46.0,400,6
47.0,74,4
48.0,410,2
49.0,959,5
50.0,94,6
51.0,454,6
52.0,286,4
53.0,181,1
54.0,719,3
55.0,117,2
56.0,352,5
57.0,352,3
58.0,238,6
59.0,722,3
60.0,785,5
