Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,93.0424476640396,92.0121249200047,90.5430941060045,89.0914511265535,87.649321552026,85.9595495980435
Afghanistan,AFG,"Age dependency ratio, old",SP.POP.DPND.OL,4.6442456380075,4.60635088670088,4.57268660954771,4.55160703424134,4.53690097986338,4.4945527274917
Afghanistan,AFG,"Age dependency ratio, young",SP.POP.DPND.YG,88.3982020260321,87.4057740333038,85.9704074964568,84.5398440923121,83.1124205721626,81.4649968705518
Afghanistan,AFG,"Age population, age 00, female, interpolated",SP.POP.AG00.FE.IN,604055,613241.5,619342.5,630113,641785,654182.5
Afghanistan,AFG,"Age population, age 00, male, interpolated",SP.POP.AG00.MA.IN,634146,643422,649299,660153,671899,684489
Afghanistan,AFG,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,579969,594271.5,604954.5,611861.5,622986.5,635494.5
Afghanistan,AFG,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,607792,622632,633543.5,640358,651606,664222.5
Afghanistan,AFG,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,561900,574987,590368.5,601559,608675,620416
Afghanistan,AFG,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,589502.5,602822.5,618769,630210,637236,649106.5
Afghanistan,AFG,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,538696.5,558333,572266,587992,599319,606964.5
Afghanistan,AFG,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,565707.5,585854.5,600025.5,616316.5,627897,635463
Afghanistan,AFG,"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,519726.5,536090.5,556386,570582.5,586397.5,598152
Afghanistan,AFG,"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,546368,562980.5,583782,598209.5,614589.5,626606
Afghanistan,AFG,"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,508461,517757,534672,555158,569424.5,585588.5
Afghanistan,AFG,"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,535067,544272,561427.5,582408.5,596905.5,613639
