geo_area,item,year,gpin
Colombia,Agave fibres nes,1961,109.17
Cuba,Agave fibres nes,1961,315.01
Ecuador,Agave fibres nes,1961,NA
El Salvador,Agave fibres nes,1961,195.03
Guatemala,Agave fibres nes,1961,418.99
Mexico,Agave fibres nes,1961,NA
Nicaragua,Agave fibres nes,1961,7.46
Antigua and Barbuda,Agriculture,1961,158.75
Argentina,Agriculture,1961,33.08
Bahamas,Agriculture,1961,26.09
Barbados,Agriculture,1961,143.99
Belize,Agriculture,1961,14.19
Bolivia (Plurinational State of),Agriculture,1961,14.07
Brazil,Agriculture,1961,14.54
Canada,Agriculture,1961,31.16
Chile,Agriculture,1961,26.37
Colombia,Agriculture,1961,26.19
Costa Rica,Agriculture,1961,14.58
Cuba,Agriculture,1961,87.71
Dominica,Agriculture,1961,68.93
Dominican Republic,Agriculture,1961,32.65
Ecuador,Agriculture,1961,29.54
El Salvador,Agriculture,1961,49.09
Grenada,Agriculture,1961,37.13
Guatemala,Agriculture,1961,12.37
Guyana,Agriculture,1961,51.44
Haiti,Agriculture,1961,48.71
Honduras,Agriculture,1961,23.41
Jamaica,Agriculture,1961,67.57
Mexico,Agriculture,1961,21.14
Nicaragua,Agriculture,1961,24.88
Panama,Agriculture,1961,35.78
Paraguay,Agriculture,1961,13.27
Peru,Agriculture,1961,21.53
Puerto Rico,Agriculture,1961,222.83
Saint Kitts and Nevis,Agriculture,1961,717.99
Saint Lucia,Agriculture,1961,220.2
Saint Vincent and the Grenadines,Agriculture,1961,68.79
Suriname,Agriculture,1961,27.73
Trinidad and Tobago,Agriculture,1961,122.9
United States of America,Agriculture,1961,43.12
Uruguay,Agriculture,1961,42.45
Venezuela (Bolivarian Republic of),Agriculture,1961,25.94
Argentina,"Almonds, with shell",1961,11.19
Chile,"Almonds, with shell",1961,NA
Mexico,"Almonds, with shell",1961,NA
United States of America,"Almonds, with shell",1961,3.93
Argentina,"Anise, badian, fennel, coriander",1961,5.32
Canada,"Anise, badian, fennel, coriander",1961,NA
Ecuador,"Anise, badian, fennel, coriander",1961,NA
Guatemala,"Anise, badian, fennel, coriander",1961,NA
Mexico,"Anise, badian, fennel, coriander",1961,0.15
Peru,"Anise, badian, fennel, coriander",1961,NA
Argentina,Apples,1961,66.82
Bolivia (Plurinational State of),Apples,1961,638.38
Brazil,Apples,1961,1.62
Canada,Apples,1961,86
Chile,Apples,1961,5.75
Colombia,Apples,1961,NA
Ecuador,Apples,1961,29.63
El Salvador,Apples,1961,NA
