coord vel1 vel2 vel3
0.016415 0.157599 -0.417649 -0.109213
0.944971 0.0204344 -0.186671 0.0568048
0.89837 0.323664 -0.0630113 -0.0883726
0.443216 0.567639 -0.217869 -0.0431668
0.383724 -0.288878 0.347339 -0.217359
0.812428 -0.306441 0.122157 0.576894
0.808874 0.0918094 0.473251 0.692035
0.313522 0.119839 -0.276346 -0.353477
0.739838 0.615611 0.111264 -0.255203
0.911797 -0.134463 0.772225 -0.29901
0.62712 0.418911 0.138213 -0.171905
0.981398 -0.237119 0.0494265 -0.256268
0.433891 -0.0787228 -0.471455 0.395377
0.94466 0.529429 0.652226 -0.332341
0.879806 0.00131763 -0.494617 -0.0662282
0.435498 0.217073 0.629634 0.507672
0.53843 0.0193802 0.22402 -0.0419511
0.58456 0.125178 0.155153 -0.228135
0.566391 -0.0804936 -0.289399 0.383215
0.57829 0.282241 -0.174015 -0.473369
0.550368 0.676098 0.415355 -0.107571
0.375657 0.161003 -0.124366 -0.262488
0.0576785 -0.246892 -0.248607 -0.0572757
0.114163 -0.59762 -0.539102 -0.0118986
0.0992675 0.0877001 -0.0375485 -0.201983
0.837212 -0.183494 0.260651 0.00739042
0.560804 0.0880037 0.219017 -0.405739
0.809029 -0.0577531 0.318132 0.314113
0.304425 0.218477 -0.35632 0.0786458
0.000577482 -0.472337 0.51069 -0.100079
0.442053 -0.0443759 -0.298405 -0.0074662
0.974555 0.121016 0.0434659 -0.170223
0.999003 0.0870615 0.363072 0.314624
0.948078 0.382205 -0.037684 -0.23467
0.178928 0.099519 -0.0948404 -0.157866
0.190039 0.0811404 0.134358 -0.312434
0.107232 -0.0654836 0.134203 -0.0179506
0.533783 -0.0898895 -0.0203634 0.187689
0.315756 -0.0326515 0.446998 0.00373665
0.841008 0.614921 0.11616 -0.0479023
0.620193 -0.195556 -0.275391 -0.393019
0.127754 -0.0630794 -0.0777373 -0.146957
0.410351 -0.483144 -0.0983465 0.0761984
0.624949 0.229707 -0.526945 -0.204766
0.244189 0.209953 0.27307 0.0125539
0.996942 0.296445 -0.524394 -0.080643
0.614844 0.0150016 0.0724289 -0.0673929
0.612223 -0.437222 -0.193644 0.207811
0.409199 -0.489967 -0.544167 0.366356
0.619282 -0.557088 0.431914 -0.333728
0.568465 0.264167 -0.145566 -0.0833889
2.88466 -0.358608 -0.402298 -0.538308
2.95477 0.2872 0.180352 0.104101
2.5644 -0.191358 -0.0857681 0.0832208
2.31662 -0.107619 -0.306334 0.312276
1.6944 -0.00735382 0.379714 0.221399
3.31182 -0.254381 -0.260017 0.0152145
2.66471 0.155688 -0.077264 -0.288606
2.31694 0.305517 -0.0853506 -0.612285
3.16006 -0.137775 -0.0895846 0.0055745
3.64336 0.625674 0.724996 -0.385862
3.0744 -0.235924 0.291985 -0.632502
3.95361 0.0693096 0.300543 0.240872
3.98085 0.534818 0.432437 0.413434
3.88466 0.422409 -0.112165 -0.403537
3.53824 0.493378 0.562972 0.239838
2.25002 -0.0676863 -0.735656 -0.181522
2.01842 -0.303882 0.196688 0.141283
3.61977 -0.0189914 -0.070763 -0.344323
1.4656 0.111783 0.169446 0.0176133
1.7622 -0.703907 0.210265 0.0625615
1.17212 0.352488 0.943069 -0.127309
3.96242 0.249087 0.141472 -0.392511
3.73957 -0.362635 -0.593352 0.0671352
2.9037 0.377024 -0.284764 0.0969148
3.31635 0.144736 0.733157 -0.405352
3.48533 0.277307 -0.239427 -0.610424
3.20301 0.171597 0.472607 -0.0911167
2.24408 0.674541 0.105864 -0.169035
3.32533 0.0992578 0.479838 -0.371256
2.81647 0.16058 -0.19143 -0.172202
3.44776 0.100307 0.777325 0.0788411
3.62264 -0.226471 0.241019 0.29781
2.58102 -0.294161 -0.388865 -1.01187
