year,day,hour,minute,station_type,station_id,lake,data_format,air_temp,dew_point,wind_speed,max_gust,water_temp
2025,26,0,24,1,BUFN6,4.0,9,-2.8,-6.7,4.6,5.7,3.0
2025,26,0,24,1,DTLM4,2.0,9,-1.4,-3.4,5.1,7.7,1.8
2025,26,0,24,1,FAIO1,4.0,9,-0.1,-6.4,9.3,12.3,0.2
2025,26,0,24,1,HLNM4,1.0,9,2.1,-3.2,11.3,13.4,0.1
2025,26,0,24,1,HRBM4,2.0,9,0.1,-6.3,6.7,9.3,2.2
2025,26,0,24,1,MACM4,1.0,9,-1.2,-5.1,7.7,10.3,0.2
2025,26,0,24,1,MNMM4,1.0,9,-1.7,-9.3,6.7,11.8,1.9
2025,26,0,24,1,MRHO1,4.0,9,-0.4,-8.8,3.6,7.2,0.0
2025,26,0,30,1,BUFN6,4.0,9,-3.0,-6.8,4.1,5.1,3.0
2025,26,0,30,1,DTLM4,2.0,9,-1.3,-3.6,7.2,9.8,1.8
2025,26,0,30,1,FAIO1,4.0,9,-0.1,-6.4,8.2,12.9,0.2
2025,26,0,30,1,HLNM4,1.0,9,2.2,-3.5,12.3,16.5,0.1
2025,26,0,30,1,HRBM4,2.0,9,0.3,-6.2,8.2,12.9,2.2
2025,26,0,30,1,MACM4,1.0,9,-1.2,-5.2,8.2,11.8,0.2
2025,26,0,30,1,MNMM4,1.0,9,-1.7,-9.4,7.2,12.9,1.9
2025,26,0,30,1,MRHO1,4.0,9,-0.3,-8.7,3.6,6.2,0.0
2025,26,0,54,1,BUFN6,4.0,9,-3.4,-7.6,3.1,3.6,3.0
2025,26,0,54,1,DTLM4,2.0,9,-1.9,-4.2,6.7,11.3,1.8
2025,26,0,54,1,FAIO1,4.0,9,0.2,-6.3,10.8,13.9,0.2
2025,26,0,54,1,HLNM4,1.0,9,1.9,-3.7,11.3,13.9,0.1
2025,26,0,54,1,HRBM4,2.0,9,0.2,-6.3,7.2,10.3,2.2
2025,26,0,54,1,MACM4,1.0,9,-1.6,-5.7,8.7,10.8,0.2
2025,26,0,54,1,MNMM4,1.0,9,-2.0,-9.8,7.7,9.8,1.9
2025,26,0,54,1,MRHO1,4.0,9,-0.1,-8.7,3.6,7.2,0.0
2025,26,1,0,1,BUFN6,4.0,9,-3.5,-8.4,4.1,4.6,3.0
2025,26,1,0,1,DTLM4,2.0,9,-2.1,-3.9,5.1,9.3,1.8
2025,26,1,0,1,FAIO1,4.0,9,0.1,-6.2,10.3,13.9,0.2
2025,26,1,0,1,HLNM4,1.0,9,1.9,-3.4,9.8,14.9,0.1
2025,26,1,0,1,HRBM4,2.0,9,0.2,-6.3,7.7,11.8,2.2
2025,26,1,0,1,MACM4,1.0,9,-1.6,-5.7,6.7,11.8,0.2
2025,26,1,0,1,MNMM4,1.0,9,-2.1,-9.9,7.2,11.8,1.9
2025,26,1,0,1,MRHO1,4.0,9,-0.1,-8.7,2.6,6.7,0.0
2025,26,1,6,1,BUFN6,4.0,9,-3.7,-8.8,4.1,4.6,3.0
2025,26,1,6,1,DTLM4,2.0,9,-2.1,-3.6,4.1,8.2,1.8
2025,26,1,6,1,FAIO1,4.0,9,0.1,-6.3,9.8,13.4,0.2
2025,26,1,6,1,HLNM4,1.0,9,2.0,-3.1,11.3,14.4,0.1
2025,26,1,6,1,HRBM4,2.0,9,0.0,-6.4,7.7,9.8,2.2
2025,26,1,6,1,MACM4,1.0,9,-1.6,-5.7,7.7,10.3,0.2
2025,26,1,6,1,MNMM4,1.0,9,-2.2,-9.8,7.2,10.8,1.9
2025,26,1,6,1,MRHO1,4.0,9,-0.1,-8.7,2.6,6.2,0.0
2025,26,1,12,1,BUFN6,4.0,9,-3.8,-8.9,4.6,5.1,3.0
2025,26,1,12,1,DTLM4,2.0,9,-2.1,-3.5,4.6,7.7,1.8
2025,26,1,12,1,FAIO1,4.0,9,0.1,-6.2,9.3,13.4,0.2
2025,26,1,12,1,HLNM4,1.0,9,1.9,-3.1,9.8,13.4,0.1
2025,26,1,12,1,HRBM4,2.0,9,0.1,-6.2,7.2,11.3,2.2
2025,26,1,12,1,MACM4,1.0,9,-1.7,-5.6,6.7,11.8,0.2
2025,26,1,12,1,MNMM4,1.0,9,-2.3,-9.9,7.2,9.8,1.9
2025,26,1,12,1,MRHO1,4.0,9,0.0,-8.7,3.1,5.7,0.0
2025,26,1,18,1,BUFN6,4.0,9,-3.9,-9.0,4.1,5.1,3.0
2025,26,1,18,1,DTLM4,2.0,9,-2.1,-3.6,4.1,6.2,1.8
2025,26,1,18,1,FAIO1,4.0,9,0.2,-6.2,8.2,10.8,0.2
2025,26,1,18,1,HLNM4,1.0,9,1.8,-3.6,11.3,14.4,0.1
2025,26,1,18,1,HRBM4,2.0,9,0.0,-6.3,8.2,11.3,2.1
2025,26,1,18,1,MACM4,1.0,9,-1.7,-5.6,7.2,10.8,0.2
2025,26,1,18,1,MNMM4,1.0,9,-2.3,-9.8,5.7,9.8,1.9
2025,26,1,18,1,MRHO1,4.0,9,-0.1,-8.8,2.6,5.1,0.0
2025,26,1,54,1,BUFN6,4.0,9,-5.3,-9.9,3.6,4.1,3.0
2025,26,1,54,1,DTLM4,2.0,9,-1.8,-4.9,5.1,9.3,1.8
2025,26,1,54,1,FAIO1,4.0,9,0.2,-6.1,9.8,13.4,0.2
2025,26,1,54,1,HLNM4,1.0,9,0.0,-1.1,12.9,17.0,0.1
2025,26,1,54,1,HRBM4,2.0,9,0.3,-5.1,9.3,12.9,2.1
2025,26,1,54,1,MACM4,1.0,9,-2.3,-5.8,7.2,11.3,0.2
2025,26,1,54,1,MNMM4,1.0,9,-2.7,-9.9,6.7,9.8,1.9
2025,26,1,54,1,MRHO1,4.0,9,0.0,-8.6,2.6,6.7,0.0
2025,26,2,0,1,BUFN6,4.0,9,-5.3,-10.0,3.1,3.6,3.0
2025,26,2,0,1,DTLM4,2.0,9,-1.7,-5.1,6.7,11.8,1.8
2025,26,2,0,1,FAIO1,4.0,9,0.2,-6.1,9.3,12.9,0.2
2025,26,2,0,1,HLNM4,1.0,9,0.2,-2.3,10.8,14.9,0.1
2025,26,2,0,1,HRBM4,2.0,9,0.3,-5.1,8.2,11.8,2.1
2025,26,2,0,1,MACM4,1.0,9,-2.4,-5.9,8.2,11.3,0.2
2025,26,2,0,1,MNMM4,1.0,9,-2.8,-9.8,6.2,11.3,1.9
2025,26,2,0,1,MRHO1,4.0,9,-0.1,-8.7,2.6,5.1,0.0
2025,26,2,6,1,BUFN6,4.0,9,-5.3,-9.9,3.6,4.1,3.0
2025,26,2,6,1,DTLM4,2.0,9,-1.8,-5.3,6.7,12.3,1.8
2025,26,2,6,1,FAIO1,4.0,9,0.2,-6.0,8.7,12.3,0.2
2025,26,2,6,1,HLNM4,1.0,9,0.4,-1.8,9.8,12.9,0.1
2025,26,2,6,1,HRBM4,2.0,9,0.2,-4.9,6.7,12.3,2.1
2025,26,2,6,1,MACM4,1.0,9,-2.3,-5.8,8.7,12.3,0.2
2025,26,2,6,1,MNMM4,1.0,9,-2.8,-9.9,7.2,12.3,1.9
2025,26,2,6,1,MRHO1,4.0,9,0.0,-8.6,2.6,6.2,0.0
2025,26,2,12,1,BUFN6,4.0,9,-5.2,-9.8,4.1,4.1,3.0
2025,26,2,12,1,DTLM4,2.0,9,-1.9,-5.4,5.1,9.3,1.8
2025,26,2,12,1,FAIO1,4.0,9,0.2,-6.1,10.3,12.9,0.2
2025,26,2,12,1,HLNM4,1.0,9,0.5,-1.9,8.7,12.3,0.1
2025,26,2,12,1,HRBM4,2.0,9,0.2,-4.7,9.3,13.4,2.0
2025,26,2,12,1,MACM4,1.0,9,-2.3,-5.8,7.7,9.8,0.2
2025,26,2,12,1,MNMM4,1.0,9,-2.8,-9.8,6.7,11.3,1.9
2025,26,2,12,1,MRHO1,4.0,9,0.0,-8.6,3.1,5.7,0.0
2025,26,2,18,1,BUFN6,4.0,9,-5.1,-9.7,3.6,4.6,3.0
2025,26,2,18,1,DTLM4,2.0,9,-1.8,-5.3,7.2,10.3,1.8
2025,26,2,18,1,FAIO1,4.0,9,0.3,-6.0,8.2,11.3,0.2
2025,26,2,18,1,HLNM4,1.0,9,0.9,-1.7,10.3,12.9,0.1
2025,26,2,18,1,HRBM4,2.0,9,0.0,-4.7,7.2,11.8,2.1
2025,26,2,18,1,MACM4,1.0,9,-2.4,-5.7,7.2,11.8,0.2
2025,26,2,18,1,MNMM4,1.0,9,-2.9,-9.7,6.2,9.8,1.9
2025,26,2,18,1,MRHO1,4.0,9,-0.1,-8.5,2.1,5.7,0.0
2025,26,2,24,1,BUFN6,4.0,9,-5.0,-9.7,3.6,4.6,3.0
2025,26,2,24,1,DTLM4,2.0,9,-1.8,-5.3,6.2,9.8,1.8
2025,26,2,24,1,FAIO1,4.0,9,0.2,-6.0,8.2,12.3,0.2
2025,26,2,24,1,HLNM4,1.0,9,0.9,-2.7,10.3,13.4,0.1
2025,26,2,24,1,HRBM4,2.0,9,-0.2,-4.6,7.7,11.8,2.1
2025,26,2,24,1,MACM4,1.0,9,-2.4,-5.7,8.2,12.3,0.2
2025,26,2,24,1,MNMM4,1.0,9,-2.9,-9.8,6.7,9.3,1.9
