year,mexico,colombia,dominican_republic
1961,108057,12000,106215
1962,112934,12200,107850
1963,130046,12300,109511
1964,131721,12400,115674
1965,161910,12500,116520
1966,169510,12600,115162
1967,173899,12700,116798
1968,192307,12800,118433
1969,201739,12900,120067
1970,226034,13000,121702
1971,236791,13000,123337
1972,234270,13100,124972
1973,286443,13200,126607
1974,260890,13300,128242
1975,279470,13298,129877
1976,280421,15370,131512
1977,333112,15420,133146
1978,395168,15500,134782
1979,365957,15650,138700
1980,441768,15700,124800
1981,460879,18340,134000
1982,486056,16470,136000
1983,426618,25900,138000
1984,439418,18843,130996
1985,566451,32500,129031
1986,627906,49006,132680
1987,520837,51351,129490
1988,682928,76166,124890
1989,473156,81075,137150
1990,686301,57064,7376
1991,780403,72102,20803
1992,724523,73815,11369
1993,709296,74000,12082
1994,799929,86924.34,27197
1995,790097,100000,48030
1996,837787,114000,11989
1997,762336,126000,30972
1998,876623,74000,60019
1999,879083,158505,71158
2000,907439,131664,81736
2001,940229,137065,111058
2002,901075,142700,147534
2003,905000,163177,273606
2004,987000,170985,220146.06
2005,1021515,171603,112706
2006,1134250,191710,216378
2007,1142892,193996,183468
2008,1162429,183968,188139
2009,1230973,189029,184357
2010,1107135,205443,285590.13
2011,1264141,215089,295080.75
2012,1316104,255384,290011
2013,1467837,294997.27,387546.03
2014,1520694.5,288739.26,513960.99
2015,1644225.86,309852.02,526438
2016,1889353.51,294389.28,601349.36
2017,2029885.85,308166,637688
2018,2184663.07,445075,644602.92
2019,2300888.9,535021,665652.11
2020,2393848.57,829146.66,620086.96
2021,2442944.64,979617.72,634368.16
2022,2540715.37,1090664,737200.99
2023,2973344.42,1085765.75,1016834.74
2024,2761327.85,1267756.86,1225409.37
