nahuatl_name,type,class
Aca-capac-quilitl,plant,quilitl
Acatl,plant,NaN
A-chilli,plant,NaN
Acoco-xihuitl,plant,xihuitl
Acxoyatl,plant,NaN
Ahuatl,plant,NaN
Ahquiztli,plant,NaN
Ahuiyac-xihuitl,plant,xihuitl
Xiuh-amolli,plant,xihuitl
A-quahuitl,plant,quahuitl
A-toch-ietl,plant,NaN
Atoya-xocotl,plant,NaN
A-xocotl,plant,NaN
Ayauh-quahuitl,plant,quahuitl
Ayauhtli,plant,NaN
A-yecotli,plant,NaN
A-illin,plant,NaN
Ylin,plant,NaN
Tepe-ylin,plant,NaN
Quetzal-ylin,plant,NaN
Ayo-nelhuatl,plant,NaN
A-zaca-tzontli,plant,NaN
Eca-patli,plant,patli
Elo-xochitl,plant,xochitl
Xiuh-elo-quilitl,plant,multiple
Elo-zacatl,plant,NaN
Ez-patli,plant,patli
Teo-ezquahuitl,plant,NaN
Iztac huitz-quahuitl,plant,quahuitl
Huitz-quahuitl,plant,quahuitl
Iztac-patli,plant,patli
Iztac-quahuitl,plant,quahuitl
Teo-iztaquilitl,plant,quilitl
Izqui-xochitl,plant,xochitl
Tlaco-izqui-xochitl,plant,xochitl
Quauh-izqui-xochitl,plant,multiple
Itzquin-patli,plant,patli
Ocotl,plant,NaN
Oco-xochitl,plant,xochitl
Iztac oco-xochitl,plant,xochitl
Oyametl,plant,NaN
Yamanqui patli,plant,patli
Te-xochitl yamanqui,plant,xochitl
Iztauyattl,plant,NaN
Y-yauhtli,plant,NaN
Quauh-yyauhtli,plant,quahuitl
Holli,plant,NaN
Yollo-xochitl,plant,xochitl
Cacalo-xochitl,plant,xochitl
Tlal-cacapol,plant,NaN
Cacaua-xochitl,plant,xochitl
Capolla-xipehualli,plant,NaN
Capul-xihuitl,plant,xihuitl
Cecen-tlacol,plant,NaN
Centzon-xochitl,plant,xochitl
Centzon-oco-xochitl,plant,xochitl
Cihua-patli,plant,patli
Cimatl,plant,NaN
Coanenepilli,plant,NaN
Cohua-xochitl,plant,xochitl
Cohua-xocotl,plant,NaN
Cochiz-xihuitl,plant,xihuitl
Huihuitzyo-cochiz-xihuitl,plant,xihuitl
Cococ-xihuitl,plant,xihuitl
Colo-mecatl,plant,NaN
Coltotzin,plant,NaN
Copaliyac-xiuhtontli,plant,xihuitl
Copal-quahuitl,plant,quahuitl
Copal-xocotl,plant,NaN
Coyo-xihuitl,plant,xihuitl
Coz-canantzi,plant,NaN
Cuecuetz-patli,plant,patli
Chian,plant,NaN
Chichic texcal-amatl,plant,NaN
Chichiltic xiuhtontli,plant,xihuitl
Chicom-acatl,plant,NaN
Chipauac xihuitl,plant,xihuitl
Chiyava xihuitl,plant,xihuitl
Huacal-xochitl,plant,xochitl
Tlal-huaxin,plant,NaN
Huelic-patli,plant,patli
Huetzcani xochitl,plant,xochitl
Huey-nacaztli,plant,NaN
