,Adjusted net national income per capita (current US$),"Death rate, crude (per 1,000 people)",Forest area (% of land area),GDP (current US$),GDP per capita (current US$),"Suicide mortality rate (per 100,000 population)"
2000,19237.606657751,7.1,38.7929818338782,744773415931.587,24271.0020563821,11.9
2001,18872.0377886201,7.1,38.7876307080739,738962729044.525,23821.4455867378,12.2
2002,19447.4170621653,7.1,38.7822795822695,760649334098.005,24255.3385818322,11.9
2003,22962.402908527,7.1,38.7769284564652,895540646634.787,28300.4630963791,12.4
2004,25919.7525078991,7.1,38.7715773306609,1026690238278.25,32143.6814078562,11.7
2005,29608.4342827203,7.1,38.7662262048566,1173108598778.68,36382.5079164537,12.2
2006,33192.7345099329,7.0,38.7608750790522,1319264809590.97,40504.0607253203,11.2
2007,36649.1322868793,7.1,38.7555239532479,1468820407783.26,44659.8951408034,11.5
2008,37861.1931081028,7.2,38.7501728274436,1552989690721.65,46710.5055759013,11.5
2009,32974.4715661154,7.1,38.7448217016393,1374625142157.29,40876.3101540295,12.0
2010,38794.0962802934,7.0,38.7394705758349,1617343367486.26,47562.0834253057,12.1
2011,42619.3957414289,7.1,38.7348640747569,1793326630174.52,52223.696112356,11.3
2012,43099.9465376571,7.1,38.7302575736789,1828366481521.6,52669.0899632316,11.8
2013,43061.3107163696,7.2,38.7256510726009,1846597421834.98,52635.1749580433,12.1
2014,41719.0524752756,7.3,38.7210445715229,1805749878439.94,50955.9983232404,12.7
2015,35274.0203370235,7.4,38.7164380704449,1556508816217.14,43596.1355365546,13.0
2016,34330.3317925023,7.4,38.7120133755838,1527994741907.43,42315.6037056806,11.9
2017,36956.0805026401,7.5,38.7078876013737,1649265644244.09,45129.4292980922,13.0
2018,37633.8594611492,7.7,38.7037629425392,1725297938435.76,46547.7951820036,12.0
2019,37802.5781882654,7.6,38.6996371683291,1743725183672.52,46374.1527517191,11.8
