,Adjusted net national income per capita (current US$),"Death rate, crude (per 1,000 people)",Forest area (% of land area),GDP (current US$),GDP per capita (current US$),"Suicide mortality rate (per 100,000 population)"
2000,31226.4908786912,8.5,33.1301735880689,10250947997000.0,36329.9560727102,11.0
2001,31718.0404793486,8.5,33.1867556145437,10581929774000.0,37133.623113437,11.4
2002,32709.1336645368,8.5,33.2433376410185,10929112955000.0,37997.7596573051,11.8
2003,33488.4783537337,8.4,33.2999196674933,11456442041000.0,39490.2749557007,11.7
2004,35492.5879738641,8.2,33.3565016939681,12217193198000.0,41724.6316287624,11.9
2005,37665.6816755579,8.3,33.4130837204429,13039199193000.0,44123.4070679055,11.9
2006,39839.5411760893,8.1,33.4696657469177,13815586948000.0,46302.0008800056,12.1
2007,40681.1705102307,8.0,33.5262477733925,14474226905000.0,48050.2237771135,12.4
2008,40133.3875836004,8.1,33.6360635020585,14769857911000.0,48570.0459804586,12.7
2009,39084.9485509918,7.9,33.6927352193296,14478064934000.0,47194.9433547336,12.8
2010,41221.6921524931,7.995,33.7494069366007,15048964444000.0,48650.6431283336,13.1
2011,42833.4178825032,8.073,33.7794700582241,15599728123000.0,50065.9665041742,13.4
2012,44821.4892345114,8.102,33.8095331798474,16253972230000.0,51784.4185738837,13.5
2013,45737.9592830844,8.215,33.8395963014708,16843190993000.0,53291.1276891406,13.5
2014,47523.0036713461,8.237,33.8696594230942,17550680174000.0,55123.8497869046,14.0
2015,49202.32246987,8.44,33.8997225447175,18206020741000.0,56762.7294515989,14.4
2016,49495.0754081158,8.493,33.8997225447175,18695110842000.0,57866.7449341091,15.1
2017,51490.4264113232,8.638,33.8669264120375,19477336549000.0,59907.754260885,15.9
2018,53655.9756367777,8.678,33.8669264120375,20533057312000.0,62823.309438197,15.7
2019,55387.964799204,8.7,33.8669264120375,21380976119000.0,65120.3946628653,16.1
