Year,Bird Species Assessed,Reptile Species Assessed,Bird Species Critically Endangered,Reptile Species Critically Endangered,Bird Species Endangered,Reptile Species Endangered,Bird Species Vulnerable,Reptile Species Vulnerable
2022,11162,10150,231,433,423,787,755,625
2021,11162,10148,225,433,447,783,773,623
2020,11158,8492,223,324,460,584,798,541
2019,11147,7829,225,309,461,565,800,535
2018,11126,7127,224,287,469,515,799,505
2017,11122,6278,222,266,461,484,786,465
2016,11121,5338,225,237,448,421,787,421
2015,10424,4669,218,180,416,361,741,403
2014,10425,4414,213,174,419,356,741,397
2013,10065,4204,198,164,397,329,713,386
2012,10064,3755,197,144,389,296,727,367
2011,10052,3336,189,137,382,284,682,351
2010,10027,2806,190,106,372,200,678,288
2009,9998,1677,192,93,362,150,669,226
2008,9990,1385,190,86,361,134,671,203
2007,9956,1385,189,79,356,139,672,204
2006,9934,664,181,73,351,101,674,167
2004,9917,499,179,64,345,79,688,161
2003,2139,473,182,57,331,78,681,158
2002,2138,453,182,55,326,79,684,159
