Date,Max_Temperature,Min_Temperature
1980-01-01,32.0,27.0
1980-02-20,34.0,30.0
1980-04-10,38.0,35.0
1980-05-30,82.0,51.0
1980-07-19,87.0,63.0
1980-09-07,80.0,52.0
1980-10-27,43.0,32.0
1980-12-16,10.0,9.0
1981-02-04,9.0,-13.0
1981-03-26,35.0,27.0
1981-05-15,64.0,35.0
1981-07-04,79.0,60.0
1981-08-23,81.0,57.0
1981-10-12,59.0,34.0
1981-12-01,38.0,27.0
1982-01-20,13.0,12.0
1982-03-11,35.0,25.0
1982-04-30,68.0,32.0
1982-06-19,65.0,45.0
1982-08-08,79.0,65.0
1982-09-27,60.0,49.0
1982-11-16,39.0,28.0
1983-01-05,36.0,34.0
1983-02-24,26.0,18.0
1983-04-15,35.0,30.0
1983-06-04,64.0,50.0
1983-07-24,83.0,60.0
1983-09-12,60.0,52.0
1983-11-01,60.0,37.0
1983-12-21,25.0,-5.0
1984-02-09,38.0,14.0
1984-03-30,41.0,32.0
1984-05-19,68.0,52.0
1984-07-08,74.0,49.0
1984-08-27,78.0,55.0
1984-10-16,63.0,55.0
1984-12-05,27.0,18.0
1985-01-24,27.0,20.0
1985-03-15,31.0,16.0
1985-05-04,59.0,40.0
1985-06-23,73.0,55.0
1985-08-12,72.0,51.0
1985-10-01,47.0,43.0
1985-11-20,28.0,28.0
1986-01-09,37.0,5.0
1986-02-28,25.0,-4.0
1986-04-19,72.0,47.0
1986-06-08,66.0,55.0
1986-07-28,71.0,65.0
1986-09-16,56.0,41.0
1986-11-05,45.0,24.0
1986-12-25,34.0,30.0
1987-02-13,18.0,7.0
1987-04-04,42.0,20.0
1987-05-24,61.0,42.0
1987-07-13,69.0,69.0
1987-09-01,63.0,49.0
1987-10-21,43.0,34.0
1987-12-10,39.0,37.0
1988-01-29,42.0,-12.0
1988-03-19,28.0,21.0
1988-05-08,79.0,51.0
1988-06-27,75.0,50.0
1988-08-16,87.0,65.0
1988-10-05,49.0,38.0
1988-11-24,45.0,30.0
1989-01-13,24.0,16.0
1989-03-04,23.0,5.0
1989-04-23,50.0,26.0
1989-06-12,67.0,52.0
1989-08-01,84.0,60.0
1989-09-20,77.0,52.0
1989-11-09,41.0,35.0
