city,pm10_concentration,pm25_concentration,no2_concentration,population,latitude,longitude
Albuquerque NM/USA,40.633,6.7,15.1,914749.0,35.09856,-106.6157567
Allentown Bethlehem Easton PA NJ/USA,14.2,8.15,17.45,762561.0,40.72152667,-75.28047533
Austin Round Rock TX/USA,21.7,9.4,6.2,2053309.0,30.36710367,-97.78325933
Baltimore Columbia Towson MD/USA,10.9,8.075,23.3,2325087.0,39.3297536,-76.5274938
Baton Rouge LA/USA,16.4,8.333,8.683,734194.0,30.37841891,-91.08626056
Bismarck ND/USA,23.1,9.45,6.25,73622.0,47.005629,-101.098133
Boston Cambridge Newton MA NH/USA,14.3,6.417,14.4,4308634.0,42.58193247,-71.07071374
Burlington South Burlington VT/USA,6.2,5.0,9.0,57303.0,44.502295,-73.03972
Cheyenne WY/USA,14.0,5.2,6.3,65132.0,41.15953648,-104.7982868
Chicago Naperville Elgin IL IN WI/USA,24.643,9.517,27.433,8865009.0,41.79641431,-87.55115587
Cincinnati OH KY IN/USA,17.467,10.1,9.8,1746265.0,39.25241738,-84.46825662
Cleveland Elyria OH/USA,20.5,9.157,16.0,1763209.0,41.45437071,-81.70602443
Columbia SC/USA,15.7,8.15,6.8,716040.0,34.0613457,-81.01296542
Denver Aurora Lakewood CO/USA,30.567,7.733,28.95,2826679.0,39.701536,-105.0065058
Des Moines West Des Moines IA/USA,22.2,8.15,10.5,544267.0,41.60333784,-93.695509
Detroit Warren Dearborn MI/USA,22.167,9.629,25.8,3547509.0,42.41059234,-83.06594013
El Paso TX/USA,38.5,9.2,23.6,951270.0,31.7370615,-106.411819
Erie PA/USA,13.4,7.9,10.1,94831.0,42.14175,-80.038611
Eureka Arcata Fortuna CA/USA,20.4,6.9,2.9,136463.0,40.77678,-124.17949
Fresno CA/USA,44.4,13.35,15.175,768549.0,36.72999314,-119.8178149
Greenville Anderson Mauldin SC/USA,15.0,8.45,12.6,528845.0,34.79787161,-82.33564288
Hanford Corcoran CA/USA,53.1,15.2,15.7,57991.0,36.208957,-119.6045485
Houston The Woodlands Sugar Land TX/USA,25.325,9.65,12.814,6370704.0,29.69190763,-95.26986074
Huntington Ashland WV KY OH/USA,16.8,8.75,9.8,779969.0,38.48139167,-82.64367367
Jacksonville FL/USA,20.0,7.35,12.0,1280209.0,30.28228606,-81.60571823
Johnstown PA/USA,10.3,10.1,10.8,19569.0,40.309722,-78.915
Las Cruces NM/USA,29.0,5.9,13.7,102102.0,31.97746305,-106.6589526
Las Vegas Henderson Paradise NV/USA,24.314,8.0,14.1,2698684.0,36.083594,-115.1591696
Lexington Fayette KY/USA,12.9,9.6,11.9,333999.0,38.06503,-84.49761
Little Rock North Little Rock Conway AR/USA,15.6,9.5,13.7,514062.0,34.72748772,-92.31001902
Los Angeles Long Beach Anaheim CA/USA,23.733,11.48,23.729,12446597.0,34.02898656,-118.1324073
Madera CA/USA,41.7,12.4,10.8,66224.0,36.9101905,-120.0221805
Merced CA/USA,35.2,11.2,12.7,82662.0,37.2950865,-120.4570635
Minneapolis St Paul Bloomington MN WI/USA,20.35,7.886,11.2,2926094.0,44.89971423,-93.18833173
Modesto CA/USA,34.2,13.9,13.0,410501.0,37.565241,-120.91511
New Haven Milford CT/USA,12.2,8.25,21.9,592734.0,41.425978,-72.973241
New Orleans Metairie LA/USA,16.9,7.3,10.0,991754.0,29.96955875,-90.11511542
New York Newark Jersey City NY NJ PA/USA,16.7,7.654,24.233,18803552.0,40.74296694,-74.05800112
Ogden Clearfield UT/USA,21.7,7.7,20.6,710695.0,41.05464406,-111.9299956
Orlando Kissimmee Sanford FL/USA,14.55,7.6,6.6,1963879.0,28.67125,-81.336528
Oxnard Thousand Oaks Ventura CA/USA,23.5,7.26,10.4,397301.0,34.3182432,-118.9477312
Phoenix Mesa Scottsdale AZ/USA,33.162,8.045,24.175,4511420.0,33.33935135,-111.9231485
Pittsburgh PA/USA,17.417,9.458,13.65,1703526.0,40.43571215,-79.93886577
Portland Vancouver Hillsboro OR WA/USA,11.0,6.1,12.5,2151050.0,45.512571,-122.7876375
Providence Warwick RI MA/USA,11.1,6.84,11.3,1199970.0,41.76482394,-71.40862873
Rapid City SD/USA,25.9,6.45,6.8,134598.0,43.90779633,-103.3286257
Richmond VA/USA,9.85,7.5,8.85,1104980.0,37.465459,-77.379434
Riverside San Bernardino Ontario CA/USA,29.471,10.275,20.492,2469090.0,34.10111245,-117.1085091
Riverton WY/USA,8.4,8.5,1.05,10682.0,42.81794479,-108.3352428
Sacramento Roseville Arden Arcade CA/USA,21.22,9.9,6.6,2122795.0,38.62552927,-121.4146023
Salinas CA/USA,23.5,5.0,6.2,415057.0,36.46180567,-121.494324
Salt Lake City UT/USA,22.4,8.7,23.5,1169022.0,40.7603045,-111.901611
San Antonio New Braunfels TX/USA,23.8,8.7,8.2,2320137.0,29.4501015,-98.43744725
San Diego Carlsbad CA/USA,33.2,9.467,11.475,3251064.0,32.91284614,-117.0598503
San Francisco Oakland Hayward CA/USA,14.7,7.383,12.6,3313702.0,37.8112935,-122.1317988
San Jose Sunnyvale Santa Clara CA/USA,18.95,6.667,16.4,1790841.0,37.063831,-121.6105607
San Luis Obispo Paso Robles Arroyo Grande CA/USA,23.333,7.25,2.8,269637.0,35.0888825,-120.580495
Scranton Wilkes Barre Hazleton PA/USA,14.7,7.9,17.6,375329.0,41.354167,-75.7347225
Springfield MA/USA,10.8,6.6,5.8,669157.0,42.24643658,-72.44459517
Stockton Lodi CA/USA,28.3,11.9,13.8,436122.0,37.80892263,-121.3196306
Tampa St Petersburg Clearwater FL/USA,21.8,7.7,7.4,2877274.0,27.88601587,-82.45226835
Tucson AZ/USA,23.814,6.3,13.75,982018.0,32.23058524,-111.1711156
Tulsa OK/USA,18.1,9.9,12.3,765813.0,36.204902,-95.976537
Urban Honolulu HI/USA,10.933,3.1,6.3,891839.0,21.33188491,-157.9460824
Vallejo Fairfield CA/USA,14.2,8.4,11.0,413344.0,38.2269535,-122.116038
Virginia Beach Norfolk Newport News VA NC/USA,11.0,7.167,9.95,1477248.0,36.933722,-76.28986657
Washington Arlington Alexandria DC VA MD WV/USA,10.0,7.45,14.22,5321730.0,38.922288,-77.15234389
Wichita KS/USA,25.0,11.55,9.1,526682.0,37.61002333,-97.34781933
Winston Salem NC/USA,14.7,9.033,10.5,508957.0,35.98401733,-80.27638767
Worcester MA CT/USA,15.4,9.1,17.5,547743.0,42.26395458,-71.79432225
