Age,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg
37.0,51.8,92.5,66.0,125.0,283.5
25.0,71.9,102.5,72.5,135.0,310.0
68.0,65.3,120.0,65.0,210.0,395.0
71.0,81.4,150.0,85.0,180.0,415.0
50.0,82.0,200.0,110.0,220.0,530.0
24.0,82.3,225.0,142.5,260.0,627.5
23.0,82.6,187.5,102.5,250.0,540.0
48.0,92.1,210.0,142.5,230.0,582.5
30.0,100.7,260.0,205.0,320.0,785.0
13.0,129.5,165.0,145.0,200.0,510.0
31.0,144.2,322.5,182.5,290.0,795.0
50.0,145.2,275.0,142.5,262.5,680.0
32.0,147.1,305.0,222.5,300.0,827.5
17.0,115.0,120.0,140.0,220.0,480.0
31.0,138.4,255.0,220.0,280.0,755.0
30.0,138.5,305.0,160.0,260.0,725.0
26.0,149.3,345.0,202.5,317.5,865.0
33.0,46.6,105.0,57.5,147.5,310.0
39.0,51.05,137.5,77.5,155.0,370.0
43.0,51.55,117.5,98.0,140.0,355.5
54.0,50.65,125.0,70.0,142.5,337.5
15.0,51.2,110.0,80.0,110.0,300.0
51.0,56.35,82.5,52.5,132.5,267.5
30.0,55.45,100.0,57.5,130.0,287.5
61.0,61.2,100.0,65.0,110.0,275.0
24.0,60.7,122.5,75.0,157.5,355.0
31.0,62.95,122.5,67.5,135.0,325.0
40.0,67.9,140.0,67.5,175.0,382.5
50.0,70.1,82.5,67.5,115.0,265.0
36.0,71.85,125.0,75.0,150.0,350.0
32.0,68.1,112.5,55.0,140.0,307.5
27.0,78.05,145.0,80.0,162.5,387.5
35.0,104.95,180.0,80.0,180.0,440.0
56.0,64.25,130.0,82.5,180.0,392.5
37.0,65.4,192.5,127.5,237.5,557.5
22.0,73.4,212.5,162.5,232.5,607.5
23.0,73.35,195.0,125.0,230.0,550.0
21.0,71.55,197.5,102.5,222.5,522.5
50.0,73.7,190.0,115.0,190.0,495.0
25.0,70.55,235.0,150.0,310.5,695.5
31.0,73.25,215.0,160.0,240.0,615.0
23.0,82.15,270.0,186.0,290.0,746.0
19.0,81.5,220.0,130.0,230.0,580.0
52.0,81.9,205.0,102.5,207.5,515.0
66.0,82.45,145.0,112.5,187.5,445.0
73.0,82.2,160.0,90.0,180.0,430.0
28.0,81.7,240.0,142.5,290.0,672.5
17.0,80.15,190.0,100.0,225.0,515.0
21.0,92.8,242.5,195.0,252.5,690.0
50.0,91.4,240.5,145.0,245.5,631.0
56.0,91.0,105.0,85.0,155.0,345.0
26.0,91.5,270.0,167.5,287.5,725.0
30.0,92.65,275.0,190.0,217.5,682.5
29.0,91.95,240.0,155.0,280.0,675.0
37.0,102.95,220.0,145.0,260.0,625.0
29.0,118.3,285.0,200.0,285.0,770.0
53.0,107.4,185.0,152.5,215.0,552.5
52.0,138.6,245.0,110.0,265.0,620.0
34.0,166.05,405.0,245.0,310.0,960.0
24.0,142.25,310.0,187.5,315.0,812.5
27.0,93.2,265.0,170.0,330.0,765.0
