Hours Since Dec 1 2017,Rented Bike Count,Temperature(degC),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(degC),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
0,254,-5.2,37,2.2,2000,-17.6,0,0,0,Winter,No Holiday,Yes
1,204,-5.5,38,0.8,2000,-17.6,0,0,0,Winter,No Holiday,Yes
2,173,-6,39,1,2000,-17.7,0,0,0,Winter,No Holiday,Yes
3,107,-6.2,40,0.9,2000,-17.6,0,0,0,Winter,No Holiday,Yes
4,78,-6,36,2.3,2000,-18.6,0,0,0,Winter,No Holiday,Yes
5,100,-6.4,37,1.5,2000,-18.7,0,0,0,Winter,No Holiday,Yes
6,181,-6.6,35,1.3,2000,-19.5,0,0,0,Winter,No Holiday,Yes
7,460,-7.4,38,0.9,2000,-19.3,0,0,0,Winter,No Holiday,Yes
8,930,-7.6,37,1.1,2000,-19.8,0.01,0,0,Winter,No Holiday,Yes
9,490,-6.5,27,0.5,1928,-22.4,0.23,0,0,Winter,No Holiday,Yes
10,339,-3.5,24,1.2,1996,-21.2,0.65,0,0,Winter,No Holiday,Yes
11,360,-0.5,21,1.3,1936,-20.2,0.94,0,0,Winter,No Holiday,Yes
12,449,1.7,23,1.4,2000,-17.2,1.11,0,0,Winter,No Holiday,Yes
13,451,2.4,25,1.6,2000,-15.6,1.16,0,0,Winter,No Holiday,Yes
14,447,3,26,2,2000,-14.6,1.01,0,0,Winter,No Holiday,Yes
15,463,2.1,36,3.2,2000,-11.4,0.54,0,0,Winter,No Holiday,Yes
16,484,1.2,54,4.2,793,-7,0.24,0,0,Winter,No Holiday,Yes
17,555,0.8,58,1.6,2000,-6.5,0.08,0,0,Winter,No Holiday,Yes
18,862,0.6,66,1.4,2000,-5,0,0,0,Winter,No Holiday,Yes
19,600,0,77,1.7,2000,-3.5,0,0,0,Winter,No Holiday,Yes
20,426,-0.3,79,1.5,1913,-3.5,0,0,0,Winter,No Holiday,Yes
21,405,-0.8,81,0.8,1687,-3.6,0,0,0,Winter,No Holiday,Yes
22,398,-0.9,83,1.5,1380,-3.4,0,0,0,Winter,No Holiday,Yes
23,323,-1.3,84,1,1265,-3.6,0,0,0,Winter,No Holiday,Yes
24,328,-1.8,87,1.1,994,-3.6,0,0,0,Winter,No Holiday,Yes
25,308,-2.2,86,0.6,990,-4.2,0,0,0,Winter,No Holiday,Yes
26,262,-2.9,86,1.5,1256,-4.9,0,0,0,Winter,No Holiday,Yes
27,167,-3.5,81,2.2,1221,-6.2,0,0,0,Winter,No Holiday,Yes
28,89,-3.8,79,2,1167,-6.9,0,0,0,Winter,No Holiday,Yes
29,79,-4,79,1.5,1202,-7.1,0,0,0,Winter,No Holiday,Yes
30,70,-4.3,82,2.1,1178,-6.9,0,0,0,Winter,No Holiday,Yes
31,146,-4.4,81,2.5,1276,-7.1,0,0,0,Winter,No Holiday,Yes
32,219,-4.2,79,2.1,1436,-7.3,0.01,0,0,Winter,No Holiday,Yes
33,328,-2.9,68,1.6,1487,-7.9,0.3,0,0,Winter,No Holiday,Yes
34,334,-0.4,57,1.6,1309,-7.8,0.8,0,0,Winter,No Holiday,Yes
35,388,1.9,49,1.8,1406,-7.7,1,0,0,Winter,No Holiday,Yes
36,479,4.3,41,1.3,1666,-7.8,1.09,0,0,Winter,No Holiday,Yes
37,606,6,36,1.8,1780,-7.9,1.12,0,0,Winter,No Holiday,Yes
38,611,7.3,35,1.3,1955,-7.1,0.99,0,0,Winter,No Holiday,Yes
39,589,7.6,41,2.3,1953,-4.8,0.74,0,0,Winter,No Holiday,Yes
40,618,6.4,48,2.6,1945,-3.8,0.22,0,0,Winter,No Holiday,Yes
41,572,6,51,2.5,1891,-3.3,0.06,0,0,Winter,No Holiday,Yes
42,489,5.5,53,1.5,1697,-3.3,0,0,0,Winter,No Holiday,Yes
43,385,5,52,2.3,1666,-4,0,0,0,Winter,No Holiday,Yes
44,359,4.6,51,1.2,1585,-4.6,0,0,0,Winter,No Holiday,Yes
45,377,4.1,55,1.2,1448,-4.1,0,0,0,Winter,No Holiday,Yes
46,354,3.5,54,1.5,1446,-4.9,0,0,0,Winter,No Holiday,Yes
47,366,4,56,1,1352,-4,0,0,0,Winter,No Holiday,Yes
48,342,4,58,1.4,1296,-3.5,0,0,0,Winter,No Holiday,Yes
49,227,3.9,69,1.7,485,-1.2,0,0,0,Winter,No Holiday,Yes
50,228,3.3,79,1.4,830,0,0,0,0,Winter,No Holiday,Yes
51,117,3.4,71,1.6,1011,-1.3,0,0.5,0,Winter,No Holiday,Yes
52,76,3.5,73,1,1060,-0.8,0,0,0,Winter,No Holiday,Yes
53,32,3.9,75,1.9,914,-0.1,0,0,0,Winter,No Holiday,Yes
54,13,3.4,86,2.5,278,1.2,0,1,0,Winter,No Holiday,Yes
55,22,3.1,91,1.2,129,1.7,0,0,0,Winter,No Holiday,Yes
56,85,3.2,92,1.8,244,2,0,0,0,Winter,No Holiday,Yes
57,152,3.5,91,1.8,231,2.1,0.02,2.5,0,Winter,No Holiday,Yes
58,200,4.4,89,2.2,257,2.7,0.24,0,0,Winter,No Holiday,Yes
59,273,5.1,87,1.4,321,3.1,0.25,0,0,Winter,No Holiday,Yes
60,333,5.8,85,1.7,349,3.4,0.43,0,0,Winter,No Holiday,Yes
61,495,6.8,81,1.9,390,3.7,0.6,0,0,Winter,No Holiday,Yes
