ID,Age_years,Duration_min,Distance_km,AvgSpeed_kmh,Elevation_gain_m,Rider_weight_kg,Battery_drop_percent
PP,34,17.52,7.913,26.95,19.7,67.8,26.6
WS,32,37.16,11.691,18.72,10.3,79.3,35.3
YF,16,33.12,15.857,28.0,24.1,69.9,52.3
WM,17,18.39,6.5,20.88,21.7,74.2,20.5
FQ,41,17.48,6.439,21.23,46.9,74.2,31.0
CT,47,28.78,6.731,13.91,15.4,86.8,23.6
RF,49,20.85,4.647,13.61,14.4,74.7,15.8
TW,19,33.14,12.527,22.18,22.5,74.0,42.3
GK,44,37.76,15.061,23.95,11.6,74.6,53.5
OT,64,23.0,3.819,9.89,32.3,92.6,15.8
WK,42,19.94,6.66,20.92,2.4,80.0,23.5
WG,42,32.96,13.373,24.61,43.1,67.3,53.3
QL,40,25.42,7.216,17.93,13.1,81.7,29.3
LS,16,17.73,7.187,25.15,22.9,54.4,19.4
RL,45,26.42,6.447,15.68,21.2,72.9,27.5
DW,46,10.87,3.878,21.62,15.9,85.5,19.2
OZ,33,32.58,9.065,15.47,4.7,79.9,32.3
RC,26,29.48,9.006,18.01,17.5,85.7,31.6
HL,30,42.85,16.0,21.66,40.0,72.1,60.0
RJ,38,33.94,8.216,14.68,54.2,84.7,37.5
RM,47,28.31,7.188,15.52,15.8,90.5,30.0
QK,35,30.13,9.922,18.95,29.1,67.4,34.4
KK,38,35.39,8.797,14.41,4.3,80.3,39.7
TM,35,35.43,12.136,19.68,40.2,78.4,49.4
MO,27,32.33,10.716,20.67,8.2,70.7,40.4
RV,24,37.42,13.125,20.25,20.9,66.3,46.6
ZM,37,23.0,4.964,12.86,13.5,84.1,16.5
NW,32,24.38,7.985,20.2,38.0,76.2,31.3
GB,36,9.31,3.047,20.15,28.6,79.4,16.9
CZ,62,30.84,8.045,16.13,17.7,90.3,33.7
XP,44,25.14,7.399,17.06,6.7,67.0,22.4
GW,19,21.44,8.63,23.94,42.1,52.1,33.8
UA,42,21.54,5.492,15.72,14.5,95.7,20.5
YD,37,29.95,10.928,21.96,8.0,70.3,44.9
PJ,59,28.28,6.6,14.9,83.6,88.4,27.8
SU,42,30.73,9.983,20.45,25.2,79.1,41.2
PL,51,26.84,8.193,19.72,12.6,91.2,28.0
GM,44,32.44,9.842,18.22,3.5,71.0,38.3
FO,42,20.18,5.879,16.34,91.6,65.0,30.5
QW,16,21.87,9.826,25.71,10.9,56.5,36.5
XW,48,21.07,7.051,19.5,93.0,78.1,30.7
HD,58,14.53,3.513,14.95,11.8,84.6,14.9
VK,30,22.56,10.227,27.59,25.9,63.7,35.2
CF,55,16.06,4.519,17.22,39.8,92.2,22.5
ST,19,33.63,13.782,24.69,17.7,69.4,49.9
