Age,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),BMI,Carbs,Proteins,Fats,Calories
34.91,26.800377179186800,1.5,3.99,24.87,267.68,106.05,71.63,1806.0
23.37,27.65502094955820,1.9,4.0,23.48,214.32,85.41,56.97,1577.0
33.2,24.32082112410530,1.88,2.99,21.15,246.04,98.11,65.48,1608.0
38.69,32.81357178608910,2.5,3.99,32.45,203.22,80.84,54.56,2657.0
45.09,17.307318603384600,2.91,4.0,14.83,332.79,133.05,88.43,1470.0
53.19,32.04906403773500,2.91,3.02,31.03,170.86,67.92,46.06,2767.0
23.17,20.54629200523470,2.71,4.96,18.44,280.33,112.35,74.97,1867.0
55.92,32.08817620708070,2.88,3.97,31.64,262.57,105.41,70.37,2191.0
24.11,27.36724576855460,3.49,4.01,27.65,173.08,69.44,45.91,2587.0
39.19,21.90937914793250,2.49,2.0,19.66,191.06,76.76,50.71,1247.0
50.51,29.07152849804970,3.49,4.01,32.51,258.98,102.72,68.72,2476.0
47.77,23.64931819941690,3.51,5.02,25.33,231.16,93.27,61.23,2232.0
19.0,24.128786918912300,3.5,5.02,21.52,181.82,71.6,48.11,2569.0
38.01,26.59443119940610,2.71,5.0,23.7,369.71,147.77,98.38,1726.0
27.39,24.477762525784000,3.59,3.01,18.5,207.16,82.59,55.08,2046.0
18.86,28.04992817494380,2.3,4.0,27.79,298.25,118.86,79.54,2455.0
40.36,21.80926489283510,2.69,5.02,19.45,192.66,76.8,51.19,1740.0
37.14,30.300737914959800,2.09,4.0,24.41,233.62,92.99,62.41,2166.0
18.93,26.40511440359580,1.58,2.99,22.65,219.75,87.27,58.09,1802.0
46.0,21.804029360668200,2.51,4.01,21.28,247.96,99.4,66.24,1716.0
37.06,25.78541781279680,2.39,3.0,24.12,300.3,120.63,80.22,2038.0
50.23,29.12385208982390,3.51,4.0,32.64,256.65,103.91,68.88,2212.0
30.9,29.31860660365030,1.82,3.98,26.25,222.21,89.25,58.85,2182.0
24.03,26.7693540494346,3.48,4.01,27.56,174.44,69.19,46.48,2410.0
50.53,22.39259644326160,2.72,3.99,15.63,177.97,71.05,47.3,1510.0
54.03,28.418499463942600,3.39,3.0,28.16,296.87,118.4,79.38,2269.0
25.11,30.892571504734000,2.28,2.99,29.83,198.29,79.79,52.85,3016.0
39.05,32.46285886287700,2.41,3.01,27.19,282.28,111.71,74.89,2624.0
44.1,23.09052321392090,2.02,4.0,22.63,321.28,128.81,85.61,2601.0
18.06,24.496921662616800,2.72,3.99,22.59,231.25,92.48,61.37,1549.0
57.07,29.439410708808700,2.8,3.99,22.23,207.11,82.81,55.52,1981.0
49.66,14.84197561792190,3.1,4.0,15.53,169.5,68.42,45.57,1497.0
31.63,35.0,2.09,2.99,37.78,304.8,122.78,81.51,3255.0
41.8,19.446703083030100,2.7,5.01,19.73,202.57,80.05,53.22,1741.0
37.51,22.57558193854220,2.8,3.98,23.12,188.66,76.42,50.28,1950.0
39.98,28.830453231342900,3.5,5.01,25.82,235.62,94.49,62.77,2030.0
25.49,35.0,2.91,3.02,42.62,296.66,117.99,78.86,3313.0
58.24,23.5650452462822,2.7,1.99,19.71,205.31,83.24,55.37,1390.0
48.18,28.50765309226650,2.11,3.97,24.79,215.24,85.55,57.33,1489.0
27.19,21.047071801739800,3.5,4.01,22.5,296.47,118.19,79.21,2531.0
40.14,23.71315012526440,3.32,1.99,19.95,217.46,86.75,57.22,1325.0
41.1,25.765634036189100,2.0,4.0,24.05,291.2,115.86,77.53,2334.0
52.36,22.0592370284323,1.51,1.97,18.62,282.27,112.63,74.94,1353.0
36.02,33.42563807603820,3.42,1.99,35.07,306.41,122.15,82.17,2728.0
33.07,29.93347627236050,2.21,3.0,33.58,288.65,115.2,76.75,2657.0
37.35,29.59749049937580,3.47,5.04,27.67,428.87,171.53,113.84,2621.0
21.24,22.6918319466272,3.5,4.01,22.38,162.37,63.98,42.89,2174.0
25.76,30.919318997894100,2.6,1.97,31.35,217.65,85.89,58.01,1839.0
40.09,22.609754391390200,2.71,3.98,21.11,274.39,109.75,73.35,1549.0
32.59,23.56556909365820,2.49,2.96,19.14,247.09,98.22,66.16,1446.0
52.62,26.90164503779490,3.5,5.01,27.23,251.88,100.12,66.98,2285.0
58.93,21.52076364412730,2.7,5.0,19.26,201.78,80.95,53.99,1789.0
52.03,21.92316157235520,2.02,2.97,20.51,178.89,72.16,48.06,1648.0
30.75,28.97544940228810,2.29,3.97,29.28,312.47,125.01,83.31,2268.0
29.01,27.545948725226100,2.01,2.99,22.54,220.02,87.44,58.56,1771.0
39.14,23.967493304534400,2.21,1.99,20.18,256.52,101.44,67.94,1934.0
39.08,20.39435029298730,2.7,5.0,19.01,202.77,81.81,54.86,1656.0
38.16,20.66838612087240,2.42,2.98,15.91,282.8,113.61,75.84,1242.0
26.29,24.98062256347280,2.71,4.97,25.97,180.13,72.39,48.72,1872.0
26.92,29.90042295012660,3.5,4.99,33.0,410.38,163.87,109.15,2558.0
45.05,29.042268221161800,2.71,3.99,26.83,223.1,89.45,59.04,1918.0
58.04,30.72971438912610,2.22,3.02,30.03,306.96,122.84,81.67,2956.0
56.29,35.0,2.2,3.04,36.39,298.21,120.07,79.45,3424.0
50.13,29.252529769449300,2.51,1.98,24.91,298.86,119.65,80.16,1861.0
56.77,28.59816726529330,3.49,5.0,29.96,200.87,80.59,53.75,2366.0
33.93,22.68075382819340,1.79,4.02,20.32,211.62,84.99,57.28,1731.0
18.77,27.30236727987140,2.21,2.04,23.93,201.97,81.36,54.63,1615.0
28.33,28.50902646757630,2.0,2.98,27.69,254.78,101.9,68.03,1995.0
31.96,26.502290685568000,3.4,3.01,25.38,276.79,109.74,73.73,2502.0
38.76,28.148384968178700,3.5,5.03,25.95,250.06,99.54,66.37,2466.0
36.52,28.373558365381900,2.42,2.02,22.72,208.63,83.47,54.99,1433.0
52.85,19.119865654275400,1.5,3.99,15.4,295.15,118.76,79.09,1410.0
18.0,26.843215360604900,2.19,3.01,24.09,214.64,85.59,57.27,1758.0
18.0,26.635811730396700,2.18,4.01,24.69,217.52,86.76,58.54,1857.0
43.69,21.13820340651530,1.88,2.01,15.3,332.81,133.7,88.57,1142.0
30.47,29.381819818670100,3.51,4.01,30.54,293.13,116.49,78.24,2619.0
36.85,26.70870756569340,2.8,3.98,22.99,190.36,76.31,50.8,1891.0
18.8,32.137482441866800,3.0,3.99,34.7,233.71,93.24,61.85,3376.0
24.11,23.042199944788800,1.69,3.04,18.99,296.4,119.17,79.57,1760.0
41.04,30.284776579530700,3.5,4.99,29.82,265.42,106.58,71.22,2327.0
42.15,20.866060956213700,2.69,5.02,19.92,201.73,80.56,53.87,1844.0
28.23,32.375722484306500,1.51,3.02,31.45,207.92,83.89,56.62,2204.0
53.32,23.802880356141900,1.8,3.98,23.18,218.11,86.97,57.62,1686.0
43.07,20.625549461389400,3.2,1.98,19.47,294.52,116.97,78.33,1625.0
26.92,34.33074085871080,3.48,3.03,36.81,303.62,121.46,81.55,2877.0
43.35,26.181430169818900,3.5,5.01,21.7,278.15,112.06,74.19,2381.0
40.03,28.83336054527090,2.7,5.03,26.91,365.05,146.28,97.25,1952.0
41.29,18.550935162257400,1.6,3.01,13.9,275.13,111.49,74.23,1264.0
19.32,21.10685278795890,1.62,2.98,22.84,218.96,88.29,58.24,2062.0
30.0,24.925648637912500,2.0,3.0,17.1,237.92,94.96,62.69,1524.0
51.69,27.330750246929700,2.61,3.0,23.97,231.65,92.08,61.08,1946.0
32.54,25.792049793569200,2.69,5.02,23.41,217.93,87.58,57.79,1806.0
21.87,24.917111505699500,1.8,3.07,20.27,201.46,79.89,53.95,1252.0
45.08,23.58927482645200,2.29,2.0,18.87,233.19,93.15,61.59,1430.0
34.09,26.57930595192320,2.19,2.0,25.29,208.16,83.98,55.66,1692.0
58.17,27.77303969159640,2.2,3.0,29.9,305.8,122.92,82.09,2768.0
45.59,26.83565657002730,2.48,4.01,18.03,219.37,87.46,58.36,1372.0
25.05,21.370673578146000,1.79,3.0,22.02,208.82,82.8,55.86,1688.0
37.35,27.02522771544830,2.42,3.0,22.16,204.42,82.01,54.55,1576.0
54.23,24.75825434838590,2.69,1.98,19.41,312.49,124.84,83.15,1231.0
36.43,26.6521134151114,2.71,2.99,25.37,256.16,101.94,68.39,1920.0
18.16,32.0880694353723,2.01,3.0,30.54,188.06,75.78,50.59,1951.0
47.62,21.510634310436800,2.31,2.98,22.71,308.94,122.86,82.31,1807.0
37.42,30.99245737603170,3.08,1.96,28.79,285.22,114.39,76.12,2633.0
32.14,19.86285138369090,2.5,3.0,18.79,247.43,99.43,66.25,1346.0
30.09,27.795914840801800,1.62,2.99,25.49,197.25,79.67,52.71,1620.0
24.35,19.74443286702580,2.68,3.99,18.79,222.66,89.14,59.41,1664.0
55.87,24.30438665383290,2.62,3.99,24.21,302.69,122.1,80.96,1689.0
27.59,32.37718066224320,3.49,3.02,27.97,276.43,109.4,73.46,2403.0
25.12,24.04088273843090,2.31,2.99,19.9,240.27,97.05,64.21,2041.0
41.88,25.522052180732500,2.61,2.98,19.73,194.99,78.38,51.54,2220.0
34.01,33.8338844815787,3.57,3.97,32.7,284.57,112.18,75.28,3011.0
18.05,35.0,2.19,2.98,45.42,295.7,118.88,78.45,3265.0
31.65,35.0,2.11,3.0,37.76,306.18,123.12,81.64,3287.0
40.05,30.96431118443070,1.51,3.01,29.16,283.55,111.76,74.73,1909.0
42.77,22.03459272374690,2.7,4.98,18.56,302.12,121.29,80.75,1440.0
56.81,24.35505975682120,3.5,5.0,23.56,226.58,90.86,60.19,2115.0
38.21,27.665167218433500,1.98,3.99,30.62,320.19,127.97,85.18,1902.0
55.91,33.54846201915900,3.5,5.0,31.43,196.91,78.21,51.68,2334.0
46.94,16.372166889574000,2.21,3.03,13.05,251.34,99.57,66.64,1328.0
25.22,28.96784777827400,2.29,2.98,29.7,197.85,79.85,53.1,2867.0
45.12,24.79921393602850,3.5,5.0,27.38,283.6,113.15,75.36,2638.0
18.85,27.50205103691950,3.49,4.04,24.9,314.61,125.15,83.93,2440.0
52.28,26.239898015868700,2.73,4.02,27.77,222.12,88.64,59.16,2206.0
20.31,29.395578278704900,2.61,3.99,29.12,200.77,80.5,53.3,2094.0
35.1,18.700011995703400,2.0,2.02,16.72,170.94,68.59,46.07,1281.0
30.19,26.25514926206450,2.57,4.01,24.54,284.52,114.08,76.54,2071.0
55.55,20.48472401946510,2.89,3.99,18.13,152.5,61.33,40.94,1671.0
32.61,15.571617568572500,2.91,2.96,12.78,178.08,71.33,47.78,1252.0
22.99,22.006132703441500,2.7,4.98,18.63,280.91,112.28,75.28,1637.0
32.36,28.45389592185140,2.1,2.99,27.85,184.84,73.95,49.16,2210.0
29.82,25.89281483291120,3.33,3.99,30.31,241.12,96.32,64.31,3333.0
33.47,22.674511856849700,2.69,5.0,24.27,246.03,97.66,65.39,1803.0
32.93,24.36805630843470,1.52,4.0,23.93,181.25,71.54,47.69,1987.0
53.67,24.245785745448800,2.01,2.0,20.5,287.13,114.97,76.58,1343.0
46.07,23.46457319606600,2.7,3.97,21.94,311.41,125.01,83.71,1574.0
38.86,18.17478963836030,2.29,4.01,17.72,217.06,86.76,57.94,1649.0
18.82,24.23699391402380,1.58,2.01,21.13,177.43,71.03,47.33,1132.0
36.06,22.919448604809000,2.21,1.98,18.81,344.62,138.1,92.14,1603.0
55.19,28.878120036343300,1.8,2.99,26.88,218.95,87.65,57.53,2112.0
55.16,26.43717196851420,2.8,3.0,27.67,254.49,101.72,67.79,2339.0
58.37,19.123150543213100,2.98,3.0,16.13,217.32,88.31,58.5,1505.0
51.01,16.307540650728600,3.51,2.02,15.58,386.21,154.31,103.28,1488.0
22.25,23.711457786959800,2.7,5.0,26.73,305.65,122.16,80.72,1937.0
49.35,21.591266031899000,2.68,4.98,21.63,213.56,86.3,56.79,1699.0
56.94,35.0,3.59,3.01,34.54,195.87,80.39,52.4,3114.0
23.04,27.99586288268800,1.52,4.0,26.5,224.18,90.32,60.01,2126.0
38.73,21.1641633369954,1.71,3.0,22.31,225.95,90.81,60.73,1700.0
59.07,19.5595514518067,2.18,1.98,15.11,211.14,84.99,56.6,1258.0
50.87,21.15121911307770,2.89,1.98,19.22,191.62,75.85,51.06,1262.0
