Hours Since Oct 2 2012,traffic_volume,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,holiday
0,5545,288.28,0,0,40,Clouds,scattered clouds,None
1,4516,289.36,0,0,75,Clouds,broken clouds,None
2,4767,289.58,0,0,90,Clouds,overcast clouds,None
3,5026,290.13,0,0,90,Clouds,overcast clouds,None
4,4918,291.14,0,0,75,Clouds,broken clouds,None
5,5181,291.72,0,0,1,Clear,sky is clear,None
6,5584,293.17,0,0,1,Clear,sky is clear,None
7,6015,293.86,0,0,1,Clear,sky is clear,None
8,5791,294.14,0,0,20,Clouds,few clouds,None
9,4770,293.1,0,0,20,Clouds,few clouds,None
10,3539,290.97,0,0,20,Clouds,few clouds,None
11,2784,289.38,0,0,1,Clear,sky is clear,None
12,2361,288.61,0,0,1,Clear,sky is clear,None
13,1529,287.16,0,0,1,Clear,sky is clear,None
14,963,285.45,0,0,1,Clear,sky is clear,None
15,506,284.63,0,0,1,Clear,sky is clear,None
16,321,283.47,0,0,1,Clear,sky is clear,None
17,273,281.18,0,0,1,Clear,sky is clear,None
18,367,281.09,0,0,1,Clear,sky is clear,None
19,814,279.53,0,0,1,Clear,sky is clear,None
20,2718,278.62,0,0,1,Clear,sky is clear,None
21,5673,278.23,0,0,1,Clear,sky is clear,None
22,6511,278.12,0,0,1,Clear,sky is clear,None
23,5471,282.48,0,0,1,Clear,sky is clear,None
24,5097,291.97,0,0,1,Clear,sky is clear,None
25,4887,293.23,0,0,1,Clear,sky is clear,None
26,5337,294.31,0,0,1,Clear,sky is clear,None
27,5692,295.17,0,0,1,Clear,sky is clear,None
28,6137,295.13,0,0,1,Clear,sky is clear,None
29,4623,293.66,0,0,20,Clouds,few clouds,None
30,3591,290.65,0,0,20,Clouds,few clouds,None
31,2898,288.19,0,0,20,Clouds,few clouds,None
32,2637,287.1,0,0,1,Clear,sky is clear,None
33,1777,286.25,0,0,1,Clear,sky is clear,None
34,1015,285.26,0,0,1,Clear,sky is clear,None
35,598,284.55,0,0,1,Clear,sky is clear,None
36,369,283.47,0,0,1,Clear,sky is clear,None
37,312,283.17,0,0,1,Clear,sky is clear,None
38,367,282.04,0,0,1,Clear,sky is clear,None
39,835,281.69,0,0,1,Clear,sky is clear,None
40,2726,281.32,0,0,1,Clear,sky is clear,None
41,5689,280.74,0,0,1,Clear,sky is clear,None
42,6990,280.57,0,0,1,Clear,sky is clear,None
43,5985,281.86,0,0,1,Clear,sky is clear,None
44,5309,284.98,0,0,1,Clear,sky is clear,None
45,4603,289.18,0,0,1,Clear,sky is clear,None
46,4884,291.55,0,0,1,Clear,sky is clear,None
47,5104,294.97,0,0,1,Clear,sky is clear,None
48,5178,296.38,0,0,1,Clear,sky is clear,None
49,5501,297.32,0,0,1,Clear,sky is clear,None
50,5713,298.17,0,0,1,Clear,sky is clear,None
51,6292,298.06,0,0,20,Clouds,few clouds,None
52,6057,297.67,0,0,20,Clouds,few clouds,None
53,4907,296.36,0,0,40,Clouds,scattered clouds,None
54,3503,293.85,0,0,40,Clouds,scattered clouds,None
55,3037,292.43,0,0,40,Clouds,scattered clouds,None
56,2822,291.77,0,0,75,Clouds,broken clouds,None
57,1992,291.36,0,0,75,Clouds,broken clouds,None
58,1166,291.12,0,0,75,Clouds,broken clouds,None
59,627,290.63,0,0,75,Clouds,broken clouds,None
60,388,290.46,0,0,40,Clouds,scattered clouds,None
61,368,289.26,0,0,0,Clear,sky is clear,None
62,2489,283.21,0,0,75,Clouds,broken clouds,None
63,5537,282.24,0,0,90,Clouds,overcast clouds,None
64,6628,281.69,0,0,90,Clouds,overcast clouds,None
65,5534,280.57,0,0,90,Clouds,overcast clouds,None
66,5403,280.02,0,0,75,Clouds,broken clouds,None
67,4770,280.11,0,0,75,Clouds,broken clouds,None
68,5217,280,0,0,90,Clouds,overcast clouds,None
69,5870,280.53,0,0,90,Clouds,overcast clouds,None
70,5967,281.43,0,0,75,Clouds,broken clouds,None
71,6108,281.78,0,0,90,Clouds,overcast clouds,None
72,6128,281.91,0,0,90,Clouds,overcast clouds,None
73,6069,281.73,0,0,90,Clouds,overcast clouds,None
74,6169,281.42,0,0,90,Clouds,overcast clouds,None
75,5384,280.87,0,0,90,Clouds,overcast clouds,None
76,4063,280.15,0,0,90,Clouds,overcast clouds,None
77,3364,279.78,0,0,90,Clouds,overcast clouds,None
78,2971,279.65,0,0,75,Clouds,broken clouds,None
79,2450,279.22,0,0,40,Clouds,scattered clouds,None
80,1832,279.06,0,0,40,Clouds,scattered clouds,None
81,1231,278.81,0,0,90,Clouds,overcast clouds,None
82,718,278.55,0,0,90,Clouds,overcast clouds,None
83,545,278.59,0,0,90,Clouds,overcast clouds,None
84,411,276.99,0,0,75,Clouds,broken clouds,None
85,688,276.35,0,0,20,Clouds,few clouds,None
86,1352,275.4,0,0,1,Clear,sky is clear,None
87,2072,275.17,0,0,1,Clear,sky is clear,None
88,3342,274.99,0,0,1,Clear,sky is clear,None
89,4258,275.09,0,0,40,Clouds,scattered clouds,None
90,4861,276.88,0,0,20,Clouds,few clouds,None
91,5191,278.04,0,0,20,Clouds,few clouds,None
92,5669,279.08,0,0,40,Clouds,scattered clouds,None
93,5074,280.12,0,0,75,Clouds,broken clouds,None
94,5025,280.25,0,0,75,Clouds,broken clouds,None
95,5153,280,0,0,75,Clouds,broken clouds,None
96,5024,279.06,0,0,90,Clouds,overcast clouds,None
97,4779,278.91,0,0,90,Clouds,overcast clouds,None
98,4362,278.39,0,0,90,Clouds,overcast clouds,None
99,3860,278.16,0,0,90,Clouds,overcast clouds,None
100,3160,278.16,0,0,90,Clouds,overcast clouds,None
101,2992,277.93,0,0,90,Clouds,overcast clouds,None
102,3202,276.9,0,0,90,Clouds,overcast clouds,None
103,1941,276.34,0,0,75,Clouds,broken clouds,None
104,1233,276.11,0,0,75,Clouds,broken clouds,None
105,323,275.73,0,0,90,Clouds,overcast clouds,None
106,312,275.65,0,0,90,Clouds,overcast clouds,None
107,627,275.51,0,0,75,Clouds,broken clouds,None
108,1508,275.05,0,0,90,Clouds,overcast clouds,None
109,1539,274.77,0,0,90,Clouds,overcast clouds,None
110,2232,274.77,0,0,75,Clouds,broken clouds,None
111,4568,275.55,0,0,75,Clouds,broken clouds,None
112,4624,276.24,0,0,75,Clouds,broken clouds,None
113,4529,277.01,0,0,90,Clouds,overcast clouds,None
114,5139,277.43,0,0,90,Clouds,overcast clouds,None
115,6640,278.45,0,0,90,Clouds,overcast clouds,None
116,6589,279.27,0,0,90,Clouds,overcast clouds,None
117,4429,279.27,0,0,90,Clouds,overcast clouds,None
118,4329,279.44,0,0,90,Clouds,overcast clouds,None
119,3833,279.32,0,0,90,Clouds,overcast clouds,None
120,4015,279.27,0,0,90,Clouds,overcast clouds,None
121,3382,278.11,0,0,90,Clouds,overcast clouds,None
122,2815,276.79,0,0,75,Clouds,broken clouds,None
123,2110,275.73,0,0,90,Clouds,overcast clouds,None
124,1555,274.88,0,0,75,Clouds,broken clouds,None
125,959,273.92,0,0,20,Clouds,few clouds,None
126,455,273.08,0,0,20,Clouds,few clouds,Columbus Day
127,336,272.62,0,0,20,Clouds,few clouds,None
128,265,271.78,0,0,1,Clear,sky is clear,None
129,314,271.05,0,0,1,Clear,sky is clear,None
130,779,270.63,0,0,1,Clear,sky is clear,None
