Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned
34.91,65.27,1.62,188.58,157.65,69.05,1.0,1080.9
23.37,56.41,1.55,179.43,131.75,73.18,1.37,1809.91
33.2,58.98,1.67,175.04,123.95,54.96,0.91,802.26
38.69,93.78,1.7,191.21,155.1,50.07,1.1,1450.79
45.09,52.42,1.88,193.58,152.88,70.84,1.08,1166.4
53.19,105.05,1.84,176.52,130.6,61.84,0.69,453.33
23.17,58.41,1.78,184.75,140.9,58.01,1.67,1953.9
55.92,84.07,1.63,183.87,141.12,51.79,1.01,727.81
24.11,88.58,1.79,176.78,154.07,65.19,1.76,2062.37
39.19,50.32,1.6,166.88,128.04,49.91,1.17,1157.25
50.51,86.37,1.63,160.92,143.2,57.87,1.69,1974.26
47.77,83.89,1.82,176.36,148.74,69.91,1.91,2733.4
19.0,82.66,1.96,173.75,168.71,62.16,1.89,2700.62
38.01,57.67,1.56,184.91,132.43,54.04,1.64,2345.2
27.39,71.79,1.97,180.96,151.11,72.68,0.75,743.85
18.86,95.12,1.85,189.48,142.51,49.9,1.2,1293.84
40.36,56.88,1.71,168.02,142.67,60.89,1.87,2189.58
37.14,76.48,1.77,180.29,127.8,56.76,1.36,1305.6
18.93,72.56,1.79,177.48,124.41,60.95,0.81,803.36
46.0,60.05,1.68,164.91,147.1,62.34,1.17,1544.4
37.06,73.04,1.74,188.15,140.95,65.11,1.04,1123.2
50.23,86.72,1.63,160.86,143.17,58.08,1.7,1326.0
30.9,76.77,1.71,189.88,137.2,51.88,1.27,1214.12
24.03,88.29,1.79,177.55,153.6,65.23,1.76,1831.81
50.53,57.01,1.91,184.12,131.58,68.07,1.09,1177.2
54.03,87.22,1.76,188.72,157.91,68.0,1.48,1067.38
25.11,105.44,1.88,174.12,155.79,67.11,1.33,1277.86
39.05,102.34,1.94,192.28,133.68,50.01,0.9,792.0
44.1,89.6,1.99,192.1,135.01,58.1,1.4,1848.0
18.06,58.56,1.61,174.64,150.33,70.81,1.9,2226.42
57.07,76.9,1.86,173.05,140.94,55.07,1.15,827.31
49.66,52.57,1.84,195.03,124.28,51.7,1.38,1324.8
31.63,126.53,1.83,197.68,146.15,61.92,1.1,790.68
41.8,59.72,1.74,194.24,141.17,51.86,1.78,2545.4
37.51,76.59,1.82,191.56,121.3,49.83,1.49,1072.8
39.98,79.99,1.76,167.75,166.6,74.26,1.63,1902.7
25.49,127.55,1.73,167.12,159.98,62.04,1.33,1607.84
58.24,56.96,1.7,170.09,121.89,57.07,0.74,895.4
48.18,56.53,1.51,184.75,125.44,52.26,1.37,1311.91
27.19,88.2,1.98,161.8,152.85,52.99,1.8,2577.96
40.14,51.72,1.61,198.12,128.23,70.18,0.86,566.57
41.1,77.05,1.79,171.94,132.06,56.07,1.4,1849.54
52.36,51.93,1.67,169.0,124.55,51.78,1.5,1818.3
36.02,109.87,1.77,191.11,156.06,73.76,1.19,786.11
33.07,102.83,1.75,185.94,140.25,52.91,1.4,1003.8
37.35,88.65,1.79,182.36,137.78,67.81,1.74,2490.11
21.24,80.78,1.9,193.85,137.76,55.01,1.8,2575.98
25.76,70.53,1.5,182.39,142.14,53.94,1.15,1011.08
40.09,54.73,1.61,183.75,157.78,64.12,1.55,1209.0
32.59,52.75,1.66,190.86,128.92,71.91,1.26,1248.53
52.62,84.36,1.76,164.87,137.25,69.2,1.68,1308.38
58.93,59.66,1.76,193.79,120.64,52.98,1.72,1787.42
52.03,59.98,1.71,169.37,151.06,58.16,1.24,1499.04
30.75,76.83,1.62,174.06,127.01,73.99,1.39,999.97
29.01,58.43,1.61,197.67,121.65,72.05,1.2,1296.0
39.14,71.32,1.88,197.84,146.63,50.97,0.55,665.5
39.08,55.58,1.71,183.69,147.75,59.11,1.96,2039.97
38.16,44.9,1.68,193.25,143.88,57.92,1.01,1092.62
26.29,59.21,1.51,181.25,128.96,71.25,1.69,2420.42
26.92,87.68,1.63,182.88,135.14,73.97,1.75,2052.22
45.05,63.63,1.54,199.17,133.28,58.05,1.66,1727.73
58.04,109.54,1.91,197.5,156.16,55.87,1.48,1065.6
56.29,125.88,1.86,196.94,129.1,63.86,1.0,960.8
50.13,70.32,1.68,186.97,161.25,70.19,1.16,1147.36
56.77,85.56,1.69,189.23,132.57,50.08,1.77,1842.22
33.93,64.38,1.78,169.13,144.15,63.97,1.33,1438.79
18.77,60.51,1.59,183.97,127.79,53.03,1.15,1012.92
28.33,69.13,1.58,181.99,134.58,49.9,1.49,1073.69
31.96,97.49,1.96,188.46,137.25,49.93,1.36,1467.58
38.76,85.97,1.82,191.07,160.06,72.1,1.96,2807.11
36.52,56.0,1.57,182.37,123.02,52.99,0.97,961.17
52.85,47.69,1.76,163.96,149.27,74.17,1.06,1399.2
18.0,64.01,1.63,161.7,120.44,73.06,0.66,580.8
18.0,62.43,1.59,190.02,161.38,50.38,1.23,1180.8
43.69,42.16,1.66,172.79,134.26,53.17,0.73,481.8
30.47,87.22,1.69,185.09,129.92,64.85,1.74,1810.99
36.85,76.15,1.82,191.78,120.66,50.15,1.49,1431.59
18.8,127.92,1.92,184.44,168.17,69.96,1.26,1211.62
24.11,58.82,1.76,189.09,129.86,72.93,0.63,415.42
41.04,82.17,1.66,176.8,138.34,74.12,1.98,2060.78
42.15,60.3,1.74,194.87,140.88,52.12,1.79,2097.52
28.23,79.51,1.59,180.81,130.24,54.05,1.48,1950.34
53.32,55.68,1.55,170.93,140.91,53.96,1.13,814.28
43.07,66.62,1.85,169.95,121.09,58.27,1.18,1038.4
26.92,103.9,1.68,162.06,134.87,61.98,1.29,1239.43
43.35,82.51,1.95,181.1,159.89,69.97,1.89,2206.2
40.03,62.99,1.53,197.11,142.95,73.33,1.93,1507.72
41.29,43.56,1.77,181.94,165.14,58.1,1.2,792.72
19.32,73.18,1.79,177.33,124.77,60.96,0.82,541.2
30.0,51.78,1.74,174.2,150.11,64.2,1.09,784.8
51.69,70.91,1.72,193.87,143.13,65.98,1.31,1732.08
32.54,62.21,1.63,190.31,160.86,58.16,1.68,2400.55
21.87,51.25,1.59,196.92,139.06,66.12,1.28,1382.4
45.08,51.38,1.65,170.2,136.15,50.08,1.44,1266.05
34.09,66.37,1.62,199.27,163.97,55.91,0.8,792.72
58.17,109.07,1.91,197.8,155.84,55.87,1.48,1067.38
45.59,48.5,1.64,167.88,159.47,67.08,1.25,1352.25
25.05,64.4,1.71,179.0,167.15,60.91,1.12,1355.2
37.35,54.63,1.57,170.31,150.23,61.93,1.31,1298.08
54.23,50.32,1.61,187.99,156.71,66.74,1.49,1806.18
36.43,69.06,1.65,165.01,126.3,65.04,1.23,810.32
18.16,73.38,1.55,172.29,124.49,56.24,0.83,729.07
47.62,68.77,1.74,160.09,167.14,58.16,1.48,1597.07
37.42,102.84,1.89,175.12,167.81,56.74,0.54,356.08
32.14,49.31,1.62,167.05,158.16,74.06,1.18,1556.3
30.09,61.25,1.55,172.15,120.14,52.21,1.3,1405.17
24.35,60.21,1.79,170.2,164.8,62.91,1.97,1538.96
55.87,58.91,1.56,181.73,155.5,57.19,1.26,1665.97
27.59,86.65,1.76,197.18,121.27,60.07,1.21,1160.63
25.12,76.46,1.96,180.16,119.42,59.13,0.67,663.3
41.88,76.57,1.97,165.42,157.38,65.05,1.14,1095.31
34.01,111.91,1.85,162.08,133.87,65.77,1.17,842.4
18.05,126.66,1.67,171.68,153.23,60.1,1.46,1927.2
31.65,126.44,1.83,198.24,146.26,62.08,1.09,1178.18
40.05,70.05,1.55,171.04,163.03,73.99,0.86,1040.6
42.77,55.56,1.73,166.98,165.32,61.88,1.68,1964.09
56.81,81.51,1.86,161.74,145.2,70.22,1.81,2590.29
38.21,70.74,1.52,164.02,143.61,65.94,1.19,1570.8
55.91,88.72,1.68,176.07,152.46,64.95,1.77,1381.66
46.94,40.41,1.76,172.68,131.41,62.96,0.8,968.0
25.22,104.98,1.88,173.78,155.85,67.0,1.34,1765.85
45.12,89.7,1.81,177.87,152.68,69.95,1.69,1977.3
18.85,85.21,1.85,194.9,156.16,61.86,1.66,1940.71
52.28,82.15,1.72,166.27,136.96,52.79,1.02,979.2
20.31,76.43,1.62,168.27,132.17,50.8,1.36,1305.6
35.1,43.89,1.62,196.15,157.36,65.15,0.57,689.7
30.19,77.76,1.78,165.87,130.04,62.01,1.41,1859.65
55.55,62.72,1.86,198.13,143.77,53.07,1.38,993.6
