Month,Year,Electric Price (USD),Gas Price (USD),Electric Usage (kWh),Gas Usage (Mcf)
1,2023,84.55094758,67.58444054,538.8463343,9.040460309
1,2024,83.85158096,63.91917102,542.1719128,9.437725399
1,2025,91.80781236,65.46188368,545.7255217,9.461464357
2,2023,98.53238668,83.40342795,635.529475,11.06041375
2,2024,99.98113876,81.16480043,636.7154668,11.10257538
2,2025,96.10682102,82.14187282,647.1309237,11.22873452
3,2023,107.8470362,80.41141739,709.7869136,12.76112845
3,2024,108.0351659,85.40687013,709.6332009,12.34954949
3,2025,99.54528387,85.06973264,709.9083591,11.95673276
4,2023,105.9272778,86.86917245,704.2064196,11.94278149
4,2024,103.0541651,83.28093893,712.5187217,12.4897772
4,2025,104.1863501,84.33056442,697.0222339,12.2254747
5,2023,99.72752818,79.83187894,620.9953315,10.40256971
5,2024,92.16256169,73.86528853,639.3193172,10.6843585
5,2025,96.50439622,72.61252903,646.0938886,11.15174201
6,2023,88.63668249,60.41465966,527.8013298,8.325990268
6,2024,86.25871926,68.6512087,509.4939737,8.131079952
6,2025,85.90562297,66.58518954,524.0139154,8.624064894
7,2023,71.85030013,47.84155901,375.8428956,5.893570915
7,2024,69.78181343,55.1515209,403.4026403,6.179028391
7,2025,69.54965962,53.20318114,384.7270356,5.737603634
8,2022,61.07605752,44.38848099,285.515967,4.256524365
8,2023,58.04576865,38.59096523,275.4989821,4.206915454
8,2024,64.71333051,44.46856199,273.1345974,3.325423174
8,2025,64.78784378,45.5981354,277.8644165,3.936678905
9,2022,51.47247601,31.93026554,205.9475886,2.358282812
9,2023,56.81340645,30.73663426,219.857948,2.377831459
9,2024,57.7464043,33.68885256,219.5769233,3.036611923
9,2025,58.33564857,35.49538548,221.0977413,2.214198983
10,2022,53.03999686,36.53668599,227.1392555,2.751313006
10,2023,52.73814263,39.29441652,219.8262622,2.343347122
10,2024,57.61087074,36.7755526,220.9367711,2.923794376
10,2025,58.47010865,34.98759656,214.7974617,3.202543261
11,2022,64.10711093,46.69736541,301.987034,4.619638503
11,2023,67.97501548,44.3973079,310.7997112,3.948288597
11,2024,59.85060445,40.04767959,307.3461945,4.01629078
12,2022,70.53251118,54.30350059,419.0549043,6.419096726
12,2023,72.20567305,50.34768541,414.4349862,6.013959177
12,2024,73.46294207,57.69239792,422.0670294,5.998878498
