Year,Mileage,PriceUSD,CityMPG,HighwayMPG,EngineLiters
2014,132486,2500,32,38,2.8
2011,144263,2500,24,29,3.7
2019,99921,9771,30,38,3.2
2017,121595,3852,34,39,2.6
2013,83830,2500,34,41,1.6
2017,55647,9046,20,27,4.2
2020,207815,6267,39,47,1.7
2017,96966,5369,18,24,4.5
2018,63211,6522,33,35,2.4
2016,70256,2765,40,46,1.6
2016,197884,3206,39,48,1.5
2010,145148,2500,36,40,1.8
2013,131593,2500,28,39,3.0
2025,1000,34556,36,41,2.5
2024,14362,22935,37,42,1.7
2015,141780,4193,31,38,2.2
2017,150597,3224,38,44,1.5
2019,67318,10377,32,36,3.0
2007,152598,2500,35,43,1.9
2017,142685,6342,27,33,3.6
2007,199130,2500,27,32,2.7
2017,67944,6357,35,43,2.3
2018,62247,5212,35,40,2.5
2016,89529,7196,21,29,4.2
2025,1000,35207,37,45,2.2
2007,164672,2500,27,35,2.7
2021,62569,15528,29,36,3.5
2019,103657,9132,28,35,3.5
2015,109517,2500,40,48,1.4
2012,240000,2500,40,46,1.4
2021,19718,14362,34,37,2.5
2020,44243,12855,32,42,2.2
2016,63422,7353,32,38,2.2
2013,123328,2500,29,38,2.7
2023,50037,16887,40,45,1.9
2012,114491,2500,28,35,2.8
2017,66340,7850,33,42,2.7
2010,240000,2500,34,41,1.4
2019,85047,5911,41,50,1.7
2013,151191,2500,35,42,1.4
2018,64468,6833,42,48,1.2
2012,219819,2500,38,43,1.9
2023,30723,24016,36,43,2.6
2016,238783,2500,23,29,3.5
2023,37319,23555,31,35,2.8
2013,218124,2500,34,40,2.5
2015,67331,2500,40,49,1.5
2008,240000,2520,35,40,2.3
2023,21426,17857,39,44,1.9
2014,114171,4939,19,25,4.8
2024,9977,26030,36,42,2.6
2012,121364,2500,28,35,2.3
2006,141355,2500,27,35,3.4
2016,106434,4838,43,50,1.2
2020,80574,8919,42,48,1.4
2023,20038,16451,42,48,1.4
2016,199963,2500,39,46,2.0
2017,88515,6751,36,41,2.1
2005,141704,2500,31,36,2.4
2018,86566,4581,39,44,1.4
2017,74740,6247,32,39,2.0
2018,50240,8074,29,35,2.4
2012,180890,2500,33,41,2.3
2019,56503,9003,34,41,2.3
2011,201966,2500,33,42,2.2
2015,240000,2500,28,37,2.5
2015,102547,3805,31,39,2.7
2021,48481,9867,37,43,2.1
2011,113492,2500,31,37,2.9
2013,145710,2500,37,42,1.4
2012,240000,2500,28,34,2.9
2018,74847,7560,34,44,2.3
2014,81005,7354,29,34,3.0
2019,61765,9268,37,45,1.9
2021,74908,9663,39,43,1.6
2023,25057,17099,41,49,1.8
2015,155413,2500,38,43,1.5
2020,80620,6659,37,43,1.6
2015,127576,2647,37,45,2.1
2018,67228,5595,37,41,2.2
2022,41227,16674,39,47,2.3
2017,91753,4045,41,46,1.5
2010,240000,2500,37,44,1.8
2008,153227,2500,35,40,1.6
2013,94736,3748,25,33,2.8
2011,240000,2500,24,33,3.6
2017,162408,3760,36,42,2.6
2025,1000,29870,37,45,2.0
2020,76117,7886,38,45,1.9
2018,97845,6793,34,38,2.0
2015,96925,2688,31,40,2.4
2018,143880,6665,35,40,2.2
2014,119729,2500,36,41,1.5
2023,25964,20693,36,44,2.4
2016,117026,3321,38,46,1.4
2022,33839,17287,34,42,2.6
2016,94901,2936,34,43,2.5
2009,240000,2500,33,39,2.6
2025,1000,29379,40,49,2.0
2014,197369,2500,38,44,1.6
2012,240000,2500,41,49,1.4
2011,97302,3830,35,42,1.9
2020,74509,11155,32,40,2.9
2020,62396,6371,39,48,1.6
2010,240000,2500,32,37,2.5
2013,200026,2500,24,32,3.2
2023,19695,19246,39,49,2.2
2010,140992,2500,35,42,1.8
2015,117996,3145,27,34,3.8
2008,240000,2500,28,34,2.8
2016,78398,2500,35,42,1.9
2018,121751,6081,34,40,2.2
2022,56933,11949,43,50,1.6
2019,53677,9733,33,40,2.9
2024,5983,25496,36,41,2.5
2019,83994,4339,33,39,2.3
2013,122382,2500,35,42,2.2
2018,157499,3679,38,46,1.7
2014,158581,2922,34,42,2.0
2015,180529,2500,29,37,2.4
2025,7802,28804,40,44,2.0
2023,32961,14395,44,48,1.4
2025,1000,28610,44,52,1.9
2016,127859,4444,37,42,1.7
2023,20721,23926,30,36,2.7
2017,112038,7567,22,32,4.5
2018,76055,6190,37,41,1.9
2018,75592,4797,33,37,2.5
2018,113405,8393,35,42,2.4
2018,91532,6140,41,47,1.8
2016,78386,3842,37,43,1.0
2014,240000,2500,28,35,3.2
2017,90032,6373,34,42,2.8
2021,44739,18323,30,33,3.5
2015,98978,4419,37,42,1.9
2011,149050,2500,36,41,1.8
2024,8466,25478,41,46,1.9
2017,77871,4733,39,44,1.6
2015,131837,2500,39,43,1.6
2014,156628,2500,35,43,1.8
2024,8141,22563,39,44,1.8
2024,23949,26518,31,42,2.8
2014,129714,2841,35,41,2.3
2019,63066,8989,35,42,2.0
2012,230999,2500,28,34,2.6
2013,144815,2500,32,39,1.9
2022,48638,16587,35,41,2.5
2011,240000,2500,28,34,2.9
2017,150333,4182,27,32,3.7
2023,16793,17264,43,52,1.7
2022,43848,18216,28,34,2.9
2018,79125,3888,40,49,1.9
2012,84817,2760,26,34,3.5
2016,93645,5176,33,39,2.8
2015,133902,2500,39,44,1.7
2016,201922,2500,28,34,2.3
2018,82152,4462,39,46,1.9
2015,155106,2500,41,51,1.6
2007,151680,2500,29,38,2.9
2018,114119,2500,40,44,1.9
2010,211091,2500,35,41,1.9
2014,68046,2500,37,42,2.0
2018,94719,5928,43,50,1.4
2014,89309,2500,32,39,2.7
2018,140568,6091,28,36,3.1
2014,138644,4998,31,38,2.1
2018,82065,6618,32,37,2.6
2010,136894,2500,31,37,2.7
2025,3383,26846,44,52,1.3
2017,78240,4324,38,44,1.6
2015,123961,5016,36,42,2.1
2018,78899,10299,24,30,4.0
2023,25034,20457,32,39,2.6
2016,63753,4727,37,48,1.5
2013,92356,4202,37,41,2.0
2007,139300,2500,30,33,2.7
2017,80585,5028,38,45,2.2
2016,123079,2500,38,44,1.7
2017,111603,2500,34,41,2.0
2008,187030,2500,36,43,1.6
2011,117352,2500,34,40,1.8
2015,106300,2961,37,47,1.8
2017,76790,5933,38,44,1.7
2017,68911,4990,36,43,2.3
2022,51544,14838,39,47,2.1
2011,194919,2500,35,40,1.8
2017,109772,4454,33,39,2.9
2016,125877,2500,30,32,2.8
2025,1000,37890,38,48,2.5
2017,56916,7217,33,38,2.6
2015,94023,4817,32,40,2.8
2007,211342,2500,32,39,2.7
2025,1000,38987,35,41,2.7
2018,106524,7908,36,40,2.2
2016,122515,3706,35,43,2.5
2005,231684,2566,26,33,2.8
2009,167081,2500,23,28,3.4
2014,135739,2500,32,36,2.8
2025,1000,25790,42,49,1.7
2015,137259,3887,27,32,2.9
2017,145319,4880,33,37,2.6
2020,100176,8506,42,48,1.8
2015,155984,2500,27,33,2.8
2008,236786,2500,29,37,2.2
2019,69252,5712,41,47,1.5
2015,208018,2500,36,43,1.5
2019,81924,6682,40,46,1.7
2020,49114,11070,36,40,2.6
2015,144998,2500,32,39,3.3
2014,135128,3320,33,38,2.7
2023,31045,18446,45,49,1.6
2010,135287,2500,34,42,1.7
2020,46414,7853,41,46,1.5
2022,20970,14388,39,44,1.8
2019,77261,8826,39,46,1.7
2017,102116,5434,39,46,1.7
2019,41608,8679,34,39,2.6
2015,96667,5104,31,37,2.6
2018,61625,7555,28,33,2.6
2018,61982,4909,42,50,1.1
2020,44678,9739,37,43,1.9
2018,81489,4176,32,41,2.1
2022,34253,15470,34,40,2.4
2018,49287,7214,35,41,1.8
2018,65480,4029,40,46,1.4
2019,100889,4673,37,40,1.9
2016,109344,5098,35,42,2.3
2009,138589,2500,28,34,2.6
2020,75679,12991,26,32,3.8
2020,58371,8221,41,45,1.5
2015,130311,3200,40,47,1.6
2015,146577,2736,30,35,2.7
2022,48141,18997,28,34,3.9
2015,114006,2500,34,42,2.4
2024,4480,22750,42,48,1.6
2015,167014,2500,40,46,1.6
2008,240000,2500,27,34,2.0
2019,97731,4442,36,43,2.0
2012,137926,2500,39,48,1.5
2022,54806,13512,41,46,1.4
2016,112646,2500,39,45,1.7
2017,140042,2915,37,44,2.4
2011,119190,2500,36,43,1.6
2018,93401,4127,42,46,1.9
2018,169545,10482,20,27,4.3
2013,202461,2500,36,42,2.0
2017,74362,4418,42,48,1.5
2015,87400,5136,28,35,3.2
2016,91371,5035,31,40,2.3
2011,136917,2500,41,49,1.3
2011,156507,2500,25,29,3.3
2016,140452,3843,34,41,2.5
2013,240000,2500,34,42,2.3
2013,130298,2500,32,40,2.2
2012,240000,2500,33,38,1.8
2012,149405,2500,32,38,2.3
2015,159082,4164,31,39,2.4
2018,73360,8177,36,43,2.5
2019,88919,8208,39,45,1.7
2016,55818,5031,32,38,2.7
2023,18821,18813,40,48,1.5
2016,48840,4742,36,44,1.7
2020,65299,7965,40,44,1.8
2018,97860,5963,28,35,2.9
2008,135937,2500,31,39,2.0
2023,21806,23548,34,41,2.9
2023,44771,15935,39,47,1.7
2014,109949,2500,29,37,2.8
2021,59829,13978,31,38,2.9
2025,2701,37027,34,39,2.9
2015,90379,6612,28,35,3.0
2025,5367,37813,34,41,2.8
2013,99079,7366,23,28,3.8
2019,85674,8649,36,44,2.3
2009,240000,2500,36,41,1.7
2015,144858,2500,35,40,2.1
2008,240000,2500,37,42,1.4
2025,1000,36602,36,42,3.0
2017,152891,2500,36,42,2.1
2019,57508,6379,41,45,1.3
2013,224753,2500,25,34,3.9
2006,160280,2886,19,27,4.1
2020,17108,9223,40,49,1.8
2015,160529,2500,30,37,2.6
2008,122627,2500,23,28,3.1
2010,155994,2500,28,33,2.5
2017,100803,8692,28,35,4.1
2018,57509,3177,38,42,1.0
2016,75796,3539,39,45,1.8
2014,187733,2500,34,41,2.2
2012,127968,3528,32,39,2.0
2018,55966,10611,21,24,4.2
2019,78167,6811,34,43,2.1
2020,111904,10323,36,44,2.2
2017,97848,4155,43,49,1.7
2015,82269,3007,30,36,2.4
2006,240000,2500,26,32,2.7
2018,80948,5814,35,40,2.7
2018,61455,7207,38,46,1.8
2010,182020,2500,37,41,1.5
2023,43971,16707,42,46,1.4
2020,52747,12622,37,42,2.6
2010,237256,2500,28,34,2.4
2014,218884,2500,39,46,1.5
2010,122100,3494,27,35,2.8
2021,45104,13283,42,49,1.7
2017,73927,3180,35,42,1.4
2005,224119,2500,33,41,1.9
2018,46257,5197,37,45,1.5
2021,57120,13395,39,47,1.9
2008,240000,2500,37,41,1.4
2017,90454,4981,40,48,1.4
2008,130711,2500,27,33,2.4
