Day,Month,Sunrise,Sunset,DaylightHours,DayOfYear
1,Jan,808,1715,9.12,1
2,Jan,808,1716,9.13,2
3,Jan,808,1717,9.15,3
4,Jan,808,1718,9.17,4
5,Jan,808,1719,9.18,5
6,Jan,808,1720,9.2,6
7,Jan,808,1721,9.22,7
8,Jan,808,1722,9.23,8
9,Jan,808,1723,9.25,9
10,Jan,807,1724,9.28,10
11,Jan,807,1725,9.3,11
12,Jan,807,1726,9.32,12
13,Jan,806,1728,9.37,13
14,Jan,806,1729,9.38,14
15,Jan,805,1730,9.42,15
16,Jan,805,1731,9.43,16
17,Jan,804,1732,9.47,17
18,Jan,804,1734,9.5,18
19,Jan,803,1735,9.53,19
20,Jan,802,1736,9.57,20
21,Jan,802,1737,9.58,21
22,Jan,801,1739,9.63,22
23,Jan,800,1740,9.67,23
24,Jan,759,1741,9.7,24
25,Jan,759,1742,9.72,25
26,Jan,758,1744,9.77,26
27,Jan,757,1745,9.8,27
28,Jan,756,1746,9.83,28
29,Jan,755,1748,9.88,29
30,Jan,754,1749,9.92,30
31,Jan,753,1750,9.95,31
1,Feb,752,1752,10.0,32
2,Feb,751,1753,10.03,33
3,Feb,750,1754,10.07,34
4,Feb,749,1756,10.12,35
5,Feb,747,1757,10.17,36
6,Feb,746,1758,10.2,37
7,Feb,745,1800,10.25,38
8,Feb,744,1801,10.28,39
9,Feb,743,1802,10.32,40
10,Feb,741,1804,10.38,41
11,Feb,740,1805,10.42,42
12,Feb,739,1806,10.45,43
13,Feb,737,1807,10.5,44
14,Feb,736,1809,10.55,45
15,Feb,734,1810,10.6,46
16,Feb,733,1811,10.63,47
17,Feb,732,1813,10.68,48
18,Feb,730,1814,10.73,49
19,Feb,729,1815,10.77,50
20,Feb,727,1817,10.83,51
21,Feb,726,1818,10.87,52
22,Feb,724,1819,10.92,53
23,Feb,723,1820,10.95,54
24,Feb,721,1822,11.02,55
25,Feb,719,1823,11.07,56
26,Feb,718,1824,11.1,57
27,Feb,716,1825,11.15,58
28,Feb,715,1827,11.2,59
29,Feb,625,1901,12.6,60
30,Feb,623,1902,12.65,61
31,Feb,621,1903,12.7,62
1,Mar,713,1828,11.25,60
2,Mar,711,1829,11.3,61
3,Mar,710,1830,11.33,62
4,Mar,708,1832,11.4,63
5,Mar,706,1833,11.45,64
6,Mar,705,1834,11.48,65
7,Mar,703,1835,11.53,66
8,Mar,701,1836,11.58,67
9,Mar,700,1838,11.63,68
10,Mar,658,1839,11.68,69
11,Mar,656,1840,11.73,70
12,Mar,655,1841,11.77,71
13,Mar,653,1842,11.82,72
14,Mar,651,1844,11.88,73
15,Mar,649,1845,11.93,74
16,Mar,648,1846,11.97,75
17,Mar,646,1847,12.02,76
18,Mar,644,1848,12.07,77
19,Mar,642,1849,12.12,78
20,Mar,641,1851,12.17,79
21,Mar,639,1852,12.22,80
22,Mar,637,1853,12.27,81
23,Mar,635,1854,12.32,82
24,Mar,634,1855,12.35,83
25,Mar,632,1856,12.4,84
26,Mar,630,1858,12.47,85
27,Mar,628,1859,12.52,86
28,Mar,627,1900,12.55,87
29,Mar,535,1936,14.02,88
30,Mar,533,1938,14.08,89
31,Mar,503,2009,15.1,90
1,Apr,620,1904,12.73,91
