Date,Week,SI,CSI,NCSI
07/29/18,1,1,1,0.000345066
08/05/18,2,1,2,0.000690131
08/12/18,3,1,3,0.001035197
08/19/18,4,1,4,0.001380262
08/26/18,5,1,5,0.001725328
09/02/18,6,2,7,0.002415459
09/09/18,7,2,9,0.00310559
09/16/18,8,2,11,0.003795721
09/23/18,9,2,13,0.004485852
09/30/18,10,3,16,0.005521049
10/07/18,11,3,19,0.006556246
10/14/18,12,4,23,0.007936508
10/21/18,13,6,29,0.010006901
10/28/18,14,5,34,0.011732229
11/04/18,15,5,39,0.013457557
11/11/18,16,6,45,0.01552795
11/18/18,17,7,52,0.017943409
11/25/18,18,6,58,0.020013803
12/02/18,19,6,64,0.022084196
12/09/18,20,6,70,0.024154589
12/16/18,21,6,76,0.026224983
12/23/18,22,8,84,0.028985507
12/30/18,23,7,91,0.031400966
01/06/19,24,7,98,0.033816425
01/13/19,25,7,105,0.036231884
01/20/19,26,7,112,0.038647343
01/27/19,27,7,119,0.041062802
02/03/19,28,6,125,0.043133195
02/10/19,29,6,131,0.045203589
02/17/19,30,7,138,0.047619048
02/24/19,31,8,146,0.050379572
03/03/19,32,6,152,0.052449965
03/10/19,33,7,159,0.054865424
03/17/19,34,7,166,0.057280883
03/24/19,35,7,173,0.059696342
03/31/19,36,7,180,0.062111801
04/07/19,37,7,187,0.06452726
04/14/19,38,7,194,0.066942719
04/21/19,39,7,201,0.069358178
04/28/19,40,7,208,0.071773637
05/05/19,41,7,215,0.074189096
05/12/19,42,7,222,0.076604555
05/19/19,43,7,229,0.079020014
05/26/19,44,7,236,0.081435473
06/02/19,45,8,244,0.084195997
06/09/19,46,8,252,0.086956522
06/16/19,47,10,262,0.090407177
06/23/19,48,10,272,0.093857833
06/30/19,49,9,281,0.096963423
07/07/19,50,9,290,0.100069013
07/14/19,51,9,299,0.103174603
07/21/19,52,10,309,0.106625259
07/28/19,53,11,320,0.11042098
08/04/19,54,10,330,0.113871636
08/11/19,55,11,341,0.117667357
08/18/19,56,11,352,0.121463078
08/25/19,57,11,363,0.125258799
09/01/19,58,28,391,0.134920635
09/08/19,59,36,427,0.147342995
09/15/19,60,34,461,0.159075224
09/22/19,61,24,485,0.167356798
09/29/19,62,14,499,0.172187716
10/06/19,63,14,513,0.177018634
10/13/19,64,16,529,0.182539683
10/20/19,65,16,545,0.188060732
10/27/19,66,16,561,0.193581781
11/03/19,67,17,578,0.199447895
11/10/19,68,17,595,0.20531401
11/17/19,69,17,612,0.211180124
11/24/19,70,21,633,0.218426501
12/01/19,71,20,653,0.225327812
12/08/19,72,20,673,0.232229124
12/15/19,73,21,694,0.2394755
12/22/19,74,25,719,0.248102139
12/29/19,75,29,748,0.258109041
01/05/20,76,28,776,0.267770876
01/12/20,77,28,804,0.277432712
01/19/20,78,31,835,0.288129745
01/26/20,79,27,862,0.297446515
02/02/20,80,28,890,0.307108351
02/09/20,81,31,921,0.317805383
02/16/20,82,33,954,0.329192547
02/23/20,83,33,987,0.34057971
03/01/20,84,33,1020,0.351966874
03/08/20,85,34,1054,0.363699103
03/15/20,86,43,1097,0.378536922
03/22/20,87,52,1149,0.396480331
03/29/20,88,54,1203,0.415113872
04/05/20,89,56,1259,0.434437543
04/12/20,90,57,1316,0.45410628
04/19/20,91,57,1373,0.473775017
04/26/20,92,54,1427,0.492408558
05/03/20,93,49,1476,0.50931677
05/10/20,94,49,1525,0.526224983
05/17/20,95,52,1577,0.544168392
05/24/20,96,48,1625,0.560731539
05/31/20,97,41,1666,0.574879227
06/07/20,98,44,1710,0.590062112
06/14/20,99,45,1755,0.605590062
06/21/20,100,52,1807,0.623533471
06/28/20,101,51,1858,0.641131815
07/05/20,102,100,1958,0.675638371
07/12/20,103,54,2012,0.694271912
07/19/20,104,47,2059,0.710489993
07/26/20,105,85,2144,0.739820566
08/02/20,106,82,2226,0.768115942
08/09/20,107,51,2277,0.785714286
08/16/20,108,48,2325,0.802277433
08/23/20,109,51,2376,0.819875776
08/30/20,110,52,2428,0.837819186
09/06/20,111,61,2489,0.858868185
09/13/20,112,76,2565,0.885093168
09/20/20,113,66,2631,0.907867495
09/27/20,114,46,2677,0.923740511
10/04/20,115,47,2724,0.939958592
10/11/20,116,44,2768,0.955141477
10/18/20,117,43,2811,0.969979296
10/25/20,118,43,2854,0.984817115
11/01/20,119,44,2898,1
