Day,Norm,CSVI,SVI,Date
0,0,0,0,1/15/17
1,0.001261034,1,1,1/22/17
2,0.002522068,2,1,1/29/17
3,0.003783102,3,1,2/5/17
4,0.00630517,5,2,2/12/17
5,0.008827238,7,2,2/19/17
6,0.011349306,9,2,2/26/17
7,0.015132409,12,3,3/5/17
8,0.020176545,16,4,3/12/17
9,0.026481715,21,5,3/19/17
10,0.037831021,30,9,3/26/17
11,0.054224464,43,13,4/2/17
12,0.074401009,59,16,4/9/17
13,0.107187894,85,26,4/16/17
14,0.180327869,143,58,4/23/17
15,0.287515763,228,85,4/30/17
16,0.407313997,323,95,5/7/17
17,0.533417402,423,100,5/14/17
18,0.650693569,516,93,5/21/17
19,0.756620429,600,84,5/28/17
20,0.836065574,663,63,6/4/17
21,0.896595208,711,48,6/11/17
22,0.949558638,753,42,6/18/17
23,1,793,40,6/25/17
