Time (Hours Past Inoculation),Cell Counts (Billions of Cells)
0.495,-0.1
0.995,-0.1
1.495,-0.1
1.995,-0.1
2.495,-0.1
2.995,-0.1
3.495,-0.1
3.995,-0.1
4.495,-0.1
4.995,-0.1
5.495,-0.1
5.995,-0.1
6.495,-0.1
6.995,-0.1
7.495,-0.1
7.995,-0.1
8.495,0.103
8.995,0.105
9.495,0.108
9.995,0.111
10.495,0.114
10.995,0.118
11.495,0.12
11.995,0.124
12.495,0.128
12.995,0.138
13.495,0.14
13.995,0.146
14.495,0.173
14.995,0.184
15.495,0.174
15.995,0.199
16.495,0.239
16.995,0.231
17.495,0.211
17.995,0.223
18.495,0.237
19.995,0.253
20.495,0.269
20.995,0.298
21.495,0.308
22.995,0.332
23.495,0.354
23.995,0.378
24.495,0.408
24.995,0.41
25.495,0.42
25.995,0.431
26.495,0.44
26.995,0.457
27.495,0.485
27.995,0.514
28.495,0.547
28.995,0.581
29.495,0.62
29.995,0.669
30.495,0.719
30.995,0.752
31.495,0.799
31.995,0.845
32.495,0.887
32.995,0.931
33.495,0.98
33.995,1.024
34.495,1.075
34.995,1.08
35.495,1.083
35.995,1.108
36.495,1.104
36.995,1.124
37.495,1.117
37.995,1.135
38.495,1.128
38.995,1.14
39.495,1.137
39.995,1.149
40.495,1.15
40.995,1.154
41.495,1.16
41.995,1.162
42.495,1.163
42.995,1.17
43.495,1.17
43.995,1.171
44.495,1.171
44.995,1.172
45.495,1.173
45.995,1.175
46.495,1.176
46.995,1.196
47.495,1.179
47.995,1.181
48.495,1.183
48.995,1.184
49.495,1.187
49.995,1.186
50.495,1.19
50.995,1.187
51.495,1.188
51.995,1.19
52.495,1.191
52.995,1.194
53.495,1.192
53.995,1.193
54.495,1.193
54.995,1.195
55.495,1.193
56.495,1.195
56.995,1.194
57.495,1.198
57.995,1.196
58.495,1.196
58.995,1.196
59.495,1.196
59.995,1.224
60.495,1.198
60.995,1.198
61.495,1.198
61.995,1.199
62.495,1.198
62.995,1.199
63.495,1.199
63.995,1.198
64.495,1.196
65.495,1.192
65.995,1.191
66.495,1.191
66.995,1.19
67.495,1.196
67.995,1.188
68.495,1.189
68.995,1.189
69.495,1.186
69.995,1.185
70.495,1.184
70.995,1.183
71.495,1.182
71.995,1.181
72.495,1.182
72.995,1.18
73.495,1.192
73.995,1.183
74.495,1.234
74.995,1.228
75.495,1.174
75.995,1.174
76.495,1.173
76.995,1.171
77.495,1.17
77.995,1.174
78.495,1.169
78.995,1.168
79.495,1.167
79.995,1.166
80.495,1.176
80.995,1.164
81.495,1.163
81.995,1.181
82.495,1.161
