The figures are modified for simplicity,,,
Pre-class,In-class,quiz,student-id
7.5,6.428571429,0,1
0,0,0,2
0,0,0,3
15,15,0,4
7.875,8.75,4,5
9,11.357142857,10,6
15,11.785714286,11,7
14.75,14.464285714,16,8
3.75,3.214285714,17,9
15,15,19,10
13.75,11.25,19,11
15,15,22,12
2.5,7.5,25,13
10,12.857142857,28,14
11.25,8.571428571,28,15
15,11.785714286,29,16
15,15,29,17
15,13.928571429,31,18
15,15,32,19
10,13.928571429,32,20
8.125,12.857142857,32,21
15,14.464285714,36,22
14.75,12.857142857,37,23
14.75,15,37,24
14.125,13.392857143,41,25
12.5,12.857142857,47,26
14.5,12.321428571,56,27
15,15,65,28
15,15,70,29
12.5,13.928571429,75,30
15,15,78,31
13.75,14.571428571,80,32
15,15,81,33
15,15,86,34
15,15,88,35
15,15,89,36
15,15,90,37
15,15,91,38
15,15,91,39
15,15,94,40
15,12.857142857,94,41
12.5,15,95,42
15,15,96,43
6,12.5,98,44
13.75,10.714285714,98,45
15,15,98,46
13.75,15,100,47
15,15,100,48
15,15,100,49
