DATE,DIFF
2455942.553,0.9974578
2455942.554,1.0024716
2455942.554,1.0012604
2455942.555,1.007712
2455942.555,1.0057987
2455942.556,0.9992283
2455942.556,1.0063195
2455942.557,1.0147148
2455942.557,1.0004073
2455942.558,1.0054115
2455942.558,0.9980341
2455942.559,0.9945996
2455942.559,1.0073317
2455942.56,0.9989101
2455942.56,0.9984562
2455942.56,1.0041604
2455942.561,1.0036872
2455942.561,0.9971698
2455942.562,0.9974244
2455942.562,0.9966314
2455942.563,1.0021246
2455942.563,0.9965265
2455942.564,0.9975845
2455942.564,1.0024533
2455942.565,0.995473
2455942.565,0.9926846
2455942.566,0.9941032
2455942.566,1.0015614
2455942.567,0.9982933
2455942.567,1.0000199
2455942.568,0.9931746
2455942.568,1.0020657
2455942.569,1.0000062
2455942.569,1.0017008
2455942.569,1.0005326
2455942.57,1.0012333
2455942.57,1.0104839
2455942.571,0.9912736
2455942.571,1.0000567
2455942.572,1.0034272
2455942.572,0.9973993
2455942.573,1.000975
2455942.573,1.0084032
2455942.574,0.9986642
2455942.574,1.0029828
2455942.575,0.9981458
2455942.575,0.9995839
2455942.576,0.9996575
2455942.576,1.0042707
2455942.576,1.0008669
2455942.577,1.0077249
2455942.577,1.0051798
2455942.578,0.9999938
2455942.578,1.009098
2455942.579,1.0048983
2455942.579,1.0121509
2455942.58,1.002759
2455942.58,0.9931547
2455942.581,1.0016319
2455942.581,0.9981195
2455942.582,1.0083325
2455942.582,1.0053305
2455942.583,0.9966403
2455942.583,0.9961058
2455942.584,0.9916926
2455942.584,1.0016234
2455942.585,0.9920788
2455942.585,1.0038635
2455942.585,0.9923629
2455942.586,0.9954623
2455942.586,1.0059394
2455942.587,0.9987135
2455942.587,0.9999106
2455942.588,1.0032538
2455942.588,0.9924933
2455942.589,1.0059039
2455942.589,0.9976416
2455942.59,0.9992613
2455942.59,0.999515
2455942.591,0.994226
2455942.591,1.006073
2455942.592,1.0067302
2455942.592,0.9924626
2455942.592,0.9998099
2455942.593,0.9972648
2455942.593,0.9912059
2455942.594,0.994903
2455942.594,0.9904266
2455942.595,1.0066264
2455942.595,1.0064573
2455942.596,0.9918356
2455942.596,0.9967962
2455942.597,0.9928053
2455942.597,1.0033962
2455942.598,0.9986921
2455942.598,0.9982091
2455942.599,0.9861774
2455942.599,0.9848478
2455942.599,0.9864211
2455942.6,0.9872679
2455942.6,0.9947996
2455942.601,0.9890416
2455942.601,0.9903808
2455942.602,0.9934037
2455942.602,0.9836048
2455942.603,0.9800227
2455942.603,0.9873131
2455942.604,0.9846563
2455942.604,0.9806966
2455942.605,0.9930131
2455942.605,0.980583
2455942.606,0.9804467
2455942.606,0.9871444
2455942.607,0.9965315
2455942.607,0.9825134
2455942.608,0.9729151
2455942.608,0.9829975
2455942.609,0.983051
2455942.609,0.9749853
2455942.61,0.9790859
2455942.61,0.9781598
2455942.61,0.978677
2455942.611,0.981621
2455942.611,0.9824335
2455942.612,0.9780121
2455942.612,0.9848818
2455942.613,0.9897763
2455942.613,0.9923968
2455942.614,0.9718323
2455942.614,0.9854012
2455942.615,0.9763638
2455942.615,0.9819535
2455942.616,0.98863
2455942.616,0.9744304
2455942.617,0.9675584
2455942.617,0.9808872
2455942.617,0.9882727
2455942.618,0.9776797
2455942.618,0.9756759
2455942.619,0.9803438
2455942.619,0.9702136
2455942.62,0.9779585
2455942.62,0.971907
2455942.621,0.9813635
2455942.621,0.9667775
2455942.622,0.9848107
2455942.622,0.9732552
2455942.623,0.9803795
2455942.623,0.9604952
2455942.624,0.9699895
2455942.624,0.970964
2455942.624,0.9690584
2455942.625,0.9735509
2455942.625,0.972826
2455942.626,0.976888
2455942.626,0.9680055
2455942.627,0.9745705
2455942.627,0.9732061
2455942.628,0.9734434
2455942.628,0.9762842
2455942.629,0.976487
2455942.629,0.965702
2455942.63,0.9757376
2455942.63,0.9768374
2455942.631,0.9773612
2455942.631,0.9797643
2455942.632,0.9728886
2455942.632,0.9834892
2455942.632,0.9688902
2455942.633,0.9779114
2455942.633,0.9754917
2455942.634,0.9620239
2455942.634,0.9747622
2455942.635,0.9715192
2455942.635,0.9843843
2455942.636,0.9693915
2455942.636,0.9726875
2455942.637,0.9733278
2455942.638,0.9729653
2455942.638,0.9797842
2455942.639,0.9711559
2455942.639,0.9725451
2455942.639,0.9772855
2455942.64,0.9814581
2455942.64,0.9796781
