Day,CultureVol
0,1091
1,1076
2,1061
3,1047
4,1033
5,996
6,955
7,941
8,904
9,890
10,853
11,815
12,792
13,778
14,741
15,727
16,690
17,652
18,592
19,578
20,541
21,527
22,490
23,450
24,1090
25,1055
26,1036
27,1021
28,1006
29,973
30,958
31,923
32,890
33,876
34,843
35,810
36,795
37,765
38,750
39,722
40,707
41,679
42,631
43,600
44,586
45,558
46,543
47,515
48,442
49,407
50,393
51,360
52,345
53,312
54,1060
55,1045
56,1030
57,1015
58,1000
59,960
60,970
61,956
62,914
63,900
64,860
65,830
66,828
67,814
68,772
69,758
70,716
71,673
72,655
73,641
74,599
75,585
76,543
77,498
78,450
79,436
80,394
81,380
82,338
83,290
