This data set is used in CMSE 201 Section 004
IDX TYPE X Y Z VX VY VZ
111945 2 0.016415 0.642101 1.91327 0.157599 -0.417649 -0.109213 
112872 2 0.570576 1.43607 1.15614 0.279682 -0.203661 -0.0995307 
102771 2 0.575362 0.983708 6.91891 0.210888 0.150463 0.251078 
101022 2 0.635809 2.30064 9.95883 0.212162 0.594229 -0.518341 
99919 2 0.555918 1.51487 8.08999 -0.48021 -0.139692 -0.108321 
101021 2 0.944971 4.54208 9.84739 0.0204344 -0.186671 0.0568048 
99920 2 0.93814 1.97903 8.45435 -0.158542 0.646788 0.191813 
115170 2 0.412128 0.0673237 14.7032 0.0294001 -0.239221 0.0157528 
105785 2 0.916576 0.785035 12.4445 -0.015621 0.364062 0.136031 
99691 2 0.779101 0.735498 16.0881 -0.0629819 0.210235 0.168066 
97730 2 0.89837 1.44804 18.096 0.323664 -0.0630113 -0.0883726 
106501 2 0.709035 2.60366 22.0914 0.0921254 -0.0191627 0.158149 
100261 2 0.92671 4.59417 24.2143 -0.269159 0.589211 -0.0137948 
113159 2 0.277717 3.57813 21.6684 -0.131313 -0.191631 0.194874 
114024 2 0.886447 0.213265 33.1003 -0.206792 -0.456113 0.0207238 
100188 2 0.443216 4.57602 39.6712 0.567639 -0.217869 -0.0431668 
103078 2 0.132418 1.282 39.35 -0.0800965 0.208392 0.309554 
110062 2 0.600258 2.61557 37.7468 -0.0881734 -0.0858749 0.00026554 
112325 2 0.7337 3.63025 35.3343 0.326406 -0.153055 -0.176037 
100187 2 0.543258 3.64095 39.4276 0.0513961 0.380099 0.0538561 
109052 2 0.383724 1.53687 39.7077 -0.288878 0.347339 -0.217359 
106763 2 0.389495 9.07843 3.52099 -0.0211436 0.219451 -0.27934 
113333 2 0.536594 6.00118 9.68998 -0.559168 -0.442836 0.720968 
106922 2 0.555026 7.31685 8.86596 -0.388389 0.298003 0.0194753 
102018 2 0.348399 7.53317 7.83822 0.268254 -0.343091 0.255461 
113334 2 0.812428 8.20304 9.46201 -0.306441 0.122157 0.576894 
111127 2 0.565883 7.83784 5.76344 -0.00447382 -0.537206 0.0713212 
106921 2 0.445275 7.41989 9.3823 0.0488258 0.112029 0.0122338 
102017 2 0.0572904 5.34939 8.02898 0.259559 0.0954056 -0.540509 
97224 2 0.924985 7.30217 5.74078 -0.0399999 0.731188 0.0467007 
97223 2 0.808874 5.1463 5.47857 0.0918094 0.473251 0.692035 
104128 2 0.71639 5.92934 13.6842 0.247962 -0.777529 0.227335 
101607 2 0.933793 5.0296 12.698 -0.180981 0.00505005 0.489827 
100604 2 0.795885 9.07726 18.3161 -0.523182 -0.108097 0.186824 
100603 2 0.758918 6.98001 18.7424 0.454908 0.0440107 -0.147448 
111721 2 0.313522 8.13075 22.5895 0.119839 -0.276346 -0.353477 
113160 2 0.274008 5.57324 22.0656 0.372084 0.015296 -0.3109 
111722 2 0.579121 7.11189 23.103 -0.0404776 0.379067 0.337528 
