Day of Year,-4.19,-12.57,-20.95,-29.33,-37.71,-46.09,-54.47,-62.85,-71.23,-79.61,-88,-96.38,-104.76,-113.14,-121.52,-129.9,-138.28,-146.66,-155.04,-163.42
1,7.2813,7.3006,7.3035,7.3055,7.3069,7.3076,7.3084,7.3089,7.3093,7.3099,7.3102,7.3104,7.3105,7.3105,7.2478,7.1772,7.1135,6.9787,6.8923,6.6562
2,7.2782,7.2949,7.2977,7.2989,7.2993,7.2991,7.2988,7.298,7.2976,7.2972,7.2969,7.2966,7.2963,7.2958,7.2577,7.1931,7.1429,7.0012,6.903,6.6506
3,7.2564,7.283,7.291,7.2939,7.2953,7.2962,7.2966,7.2953,7.2908,7.2811,7.2732,7.2705,7.2678,7.263,7.2318,7.1799,7.1394,7.0096,6.9049,6.658
4,7.2185,7.2625,7.2692,7.2723,7.2742,7.2755,7.2766,7.2774,7.2781,7.2786,7.2772,7.2771,7.2761,7.2655,7.2152,7.1573,7.1131,7.0017,6.9115,6.697
5,7.0878,7.1134,7.1224,7.1262,7.1286,7.1304,7.1317,7.1329,7.1338,7.1346,7.1352,7.1357,7.1361,7.1363,7.1291,7.0947,7.0525,6.9675,6.8986,6.7392
6,6.8292,6.8552,6.8678,6.8732,6.8763,6.8785,6.88,6.8811,6.8821,6.8828,6.8832,6.8834,6.8831,6.8825,6.8821,6.8819,6.8803,6.8597,6.8217,6.7312
7,6.7631,6.783,6.7976,6.8039,6.8075,6.81,6.8117,6.813,6.814,6.8147,6.8151,6.8153,6.815,6.8121,6.7997,6.7769,6.7713,6.7637,6.7524,6.7127
8,6.8228,6.845,6.8612,6.8708,6.8773,6.8816,6.8851,6.8878,6.89,6.892,6.8936,6.8951,6.8962,6.8974,6.8982,6.8904,6.8824,6.8659,6.8511,6.7733
9,6.8514,6.8914,6.9041,6.9092,6.9125,6.9148,6.9168,6.9181,6.9192,6.9207,6.9218,6.9226,6.9233,6.924,6.9245,6.9249,6.9253,6.9256,6.9258,6.8789
10,6.8182,6.8865,6.8931,6.8963,6.8984,6.9002,6.9016,6.9027,6.9039,6.905,6.9057,6.9064,6.907,6.9076,6.9083,6.9089,6.9092,6.9094,6.9093,6.9027
11,6.8196,6.8918,6.9004,6.904,6.9062,6.9082,6.9096,6.9107,6.9118,6.9128,6.9134,6.9143,6.9148,6.9153,6.916,6.9163,6.9167,6.917,6.917,6.9147
12,6.8556,6.9159,6.9263,6.9306,6.9333,6.9354,6.9371,6.9385,6.9398,6.9408,6.9418,6.9427,6.9435,6.9443,6.945,6.9456,6.9462,6.9468,6.9473,6.9471
13,6.9001,6.9522,6.9635,6.9678,6.9707,6.9728,6.9745,6.9759,6.9771,6.9781,6.9791,6.98,6.9807,6.9814,6.9821,6.9827,6.9834,6.984,6.9845,6.9846
14,6.9564,6.9813,6.9921,6.9963,6.9995,7.0013,7.0026,7.0044,7.0055,7.0063,7.007,7.0077,7.0082,7.0088,7.0098,7.0104,7.0108,7.0112,7.0115,7.0091
15,6.9602,6.9821,6.9849,6.9862,6.9871,6.9878,6.9883,6.9888,6.9892,6.9896,6.9899,6.9901,6.9903,6.9905,6.9906,6.9908,6.9908,6.9904,6.9852,6.983
16,6.6944,6.729,6.7385,6.743,6.7457,6.7476,6.749,6.7501,6.751,6.7518,6.7525,6.7531,6.7535,6.7539,6.7543,6.7545,6.7545,6.7521,6.742,6.743
17,6.458,6.4833,6.4942,6.4983,6.5006,6.5018,6.5009,6.4993,6.4985,6.4979,6.4965,6.4934,6.4885,6.483,6.4775,6.4725,6.4688,6.4668,6.4652,6.4629
18,6.4221,6.472,6.4787,6.4812,6.4829,6.4836,6.4838,6.4824,6.4802,6.4697,6.4586,6.4483,6.4354,6.4195,6.403,6.3885,6.3789,6.3726,6.3673,6.3516
19,6.3946,6.4603,6.4679,6.4713,6.4734,6.4753,6.4765,6.4773,6.4778,6.4782,6.4747,6.4711,6.4649,6.4486,6.4282,6.4087,6.3928,6.3798,6.3673,6.3417
20,6.339,6.4167,6.4249,6.4287,6.431,6.4329,6.4344,6.4357,6.4367,6.4376,6.4384,6.439,6.4395,6.4399,6.437,6.4285,6.4174,6.4026,6.3894,6.3498
21,6.3044,6.3576,6.3667,6.3708,6.3733,6.3752,6.3768,6.378,6.3791,6.3801,6.381,6.3817,6.3824,6.3831,6.3836,6.3842,6.3846,6.384,6.3794,6.345
22,6.2651,6.3054,6.3139,6.318,6.3204,6.3223,6.3238,6.325,6.3259,6.3267,6.3276,6.3284,6.329,6.3297,6.3303,6.3309,6.3314,6.3319,6.3324,6.3319
23,6.1996,6.2686,6.2768,6.2807,6.2832,6.2853,6.2866,6.2879,6.2889,6.2901,6.291,6.2918,6.2926,6.2933,6.294,6.2945,6.2952,6.2959,6.2966,6.2973
24,6.1677,6.227,6.2354,6.2394,6.2422,6.2444,6.2461,6.2475,6.2488,6.25,6.251,6.252,6.2529,6.2537,6.2544,6.2552,6.2559,6.2566,6.2573,6.258
25,6.1645,6.192,6.1961,6.1984,6.2,6.2015,6.2026,6.2038,6.2049,6.2057,6.2064,6.2071,6.2079,6.2085,6.2091,6.2096,6.2102,6.2107,6.2112,6.2117
26,6.1434,6.1645,6.1682,6.1703,6.1719,6.1732,6.1743,6.1753,6.1762,6.1769,6.1776,6.1783,6.179,6.1796,6.1801,6.1807,6.1812,6.1817,6.1822,6.1828
27,6.0628,6.1088,6.119,6.1256,6.1296,6.1324,6.1346,6.1364,6.138,6.1393,6.1405,6.1415,6.1424,6.1432,6.144,6.1447,6.1454,6.146,6.1465,6.1472
28,6.0163,6.0285,6.0422,6.0524,6.0582,6.0623,6.0654,6.068,6.0701,6.072,6.0735,6.0749,6.0762,6.0773,6.0784,6.0794,6.0803,6.0812,6.0821,6.0834
29,5.8649,5.9129,5.9191,5.9223,5.9246,5.9265,5.928,5.9293,5.9305,5.9316,5.9326,5.9336,5.9344,5.9353,5.9361,5.9369,5.9378,5.9386,5.9396,5.9412
30,5.8102,5.8486,5.8536,5.8558,5.8573,5.8584,5.8594,5.8602,5.8612,5.8618,5.8624,5.863,5.8634,5.8639,5.8644,5.8648,5.8652,5.8658,5.8662,5.8666
31,5.8135,5.846,5.851,5.8536,5.8555,5.8566,5.8578,5.8584,5.8589,5.8603,5.8608,5.8611,5.8614,5.862,5.8626,5.863,5.8633,5.8636,5.864,5.8646
32,5.8231,5.8475,5.8535,5.8568,5.8592,5.8611,5.8627,5.8636,5.8652,5.866,5.8668,5.8677,5.8685,5.8691,5.8697,5.8704,5.8709,5.8714,5.872,5.8729
33,5.8152,5.8211,5.8283,5.8344,5.8391,5.8428,5.8456,5.8481,5.85,5.8519,5.8534,5.8554,5.8567,5.8576,5.8583,5.8584,5.8581,5.8575,5.8567,5.8558
34,5.7809,5.8134,5.8298,5.8367,5.8409,5.8439,5.8458,5.8481,5.8495,5.8505,5.8517,5.8527,5.8534,5.854,5.8547,5.8549,5.8544,5.8527,5.8505,5.8497
35,5.76,5.824,5.8324,5.8363,5.839,5.8411,5.8428,5.8442,5.8455,5.8464,5.8475,5.8482,5.8491,5.85,5.8507,5.8515,5.8524,5.8531,5.8538,5.8547
36,5.768,5.8038,5.8086,5.8112,5.8129,5.8145,5.8157,5.8167,5.8177,5.8186,5.8194,5.8201,5.8208,5.8214,5.8221,5.8227,5.8233,5.8238,5.8245,5.8253
37,5.6993,5.7354,5.7393,5.7413,5.7427,5.7439,5.7448,5.7456,5.7463,5.747,5.7475,5.7481,5.7485,5.749,5.7494,5.7498,5.7502,5.7506,5.7511,5.7519
38,5.5811,5.6079,5.6102,5.6112,5.6119,5.6124,5.6128,5.6132,5.6135,5.6137,5.614,5.6142,5.6145,5.6147,5.6149,5.6151,5.6154,5.6157,5.6161,5.6171
39,5.5263,5.5313,5.5324,5.5326,5.5325,5.5322,5.5318,5.5311,5.5299,5.5285,5.5277,5.5276,5.5276,5.5277,5.5277,5.5278,5.528,5.5282,5.5287,5.5296
40,5.4502,5.4701,5.4701,5.4709,5.4719,5.4727,5.4733,5.4738,5.474,5.4738,5.4735,5.4735,5.4736,5.4737,5.4737,5.4738,5.4738,5.4736,5.4735,5.4738
