Year,Arizona,California,Colorado,Connecticut,Idaho,Illinois,Indiana,Iowa,Maine,Maryland,Massachusetts,Michigan,Minnesota,Missouri,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Pennsylvania,Rhode Island,Tennessee,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin
2000, 94.5 , 510.0 , 27.0 , 20.0 , 140.0 , 36.0 , 43.8 , 7.5 , 35.0 , 33.0 , 43.0 , 795.0 , 17.4 , 34.0 , 32.5 , 46.0 , 935.0 , 145.0 , 96.0 , 162.0 , 475.0 , 2.2 , 9.5 , 40.0 , 38.5 , 314.0 , 6000.0 , 83.0 , 58.0 
2001, 5.3 , 490.0 , 23.0 , 20.0 , 79.0 , 40.6 , 46.0 , 7.7 , 40.0 , 40.7 , 34.0 , 900.0 , 15.5 , 41.0 , 28.5 , 50.0 , 940.0 , 107.0 , 84.0 , 141.0 , 480.0 , 1.4 , 8.0 , 19.0 , 38.0 , 306.0 , 5050.0 , 95.0 , 49.0 
2002, 26.0 , 460.0 , 20.0 , 11.5 , 79.0 , 35.3 , 36.0 , 5.2 , 44.0 , 31.9 , 28.0 , 515.0 , 17.7 , 36.0 , 24.5 , 32.0 , 630.0 , 155.0 , 70.0 , 187.0 , 369.0 , 2.1 , 6.1 , 6.5 , 28.0 , 247.0 , 5100.0 , 92.0 , 52.0 
2003, 7.0 , 440.0 , 21.0 , 20.0 , 70.0 , 45.9 , 39.0 , 4.7 , 40.0 , 38.4 , 37.0 , 890.0 , 19.8 , 40.0 , 24.5 , 40.0 , 1060.0 , 130.0 , 88.0 , 132.0 , 442.0 , 2.0 , 11.5 , 27.5 , 37.5 , 262.0 , 4550.0 , 85.0 , 56.0 
2004, 37.0 , 355.0 , 27.0 , 18.5 , 80.0 , 51.3 , 41.0 , 4.8 , 43.0 , 33.0 , 37.0 , 730.0 , 19.9 , 40.0 , 28.0 , 38.0 , 1280.0 , 132.0 , 90.0 , 160.0 , 400.0 , 2.1 , 10.5 , 31.4 , 38.0 , 297.0 , 6150.0 , 80.0 , 50.5 
2005, 22.0 , 355.0 , 27.0 , 15.0 , 70.0 , 38.5 , 26.7 , 1.9 , 29.0 , 40.8 , 26.0 , 755.0 , 16.0 , 30.0 , 19.5 , 44.0 , 1035.0 , 118.0 , 98.0 , 135.0 , 495.0 , 1.4 , 7.5 , 35.7 , 29.5 , 247.0 , 5700.0 , 83.0 , 44.5 
2006, 30.0 , 355.0 , 14.0 , 16.5 , 55.0 , 44.8 , 32.0 , 5.8 , 23.5 , 32.7 , 30.5 , 855.0 , 17.0 , 30.5 , 27.5 , 44.0 , 1250.0 , 170.0 , 101.0 , 150.0 , 467.0 , 1.8 , 9.0 , 9.9 , 32.0 , 214.0 , 5550.0 , 88.0 , 53.0 
2007, 23.0 , 345.0 , 13.0 , 22.0 , 35.0 , 4.9 , 18.0 , 1.7 , 36.0 , 29.0 , 36.5 , 770.0 , 20.1 , 1.4 , 33.0 , 42.0 , 1300.0 , 60.0 , 55.6 , 135.0 , 467.0 , 2.4 , 0.1 , 18.0 , 33.0 , 215.0 , 5200.0 , 77.0 , 49.0 
2008, 18.0 , 360.0 , 17.0 , 19.0 , 85.0 , 39.6 , 21.5 , 3.6 , 35.0 , 41.0 , 38.5 , 590.0 , 24.3 , 30.0 , 35.0 , 39.0 , 1240.0 , 165.0 , 88.9 , 119.0 , 430.0 , 2.3 , 8.7 , 11.6 , 41.0 , 226.0 , 5650.0 , 81.0 , 54.5 
2009, 5.5 , 265.0 , 15.0 , 18.0 , 45.0 , 39.6 , 27.0 , 4.1 , 32.0 , 46.0 , 41.0 , 995.0 , 20.3 , 18.0 , 28.0 , 42.0 , 1360.0 , 105.0 , 110.0 , 130.0 , 483.0 , 2.3 , 7.8 , 16.0 , 37.0 , 245.0 , 5200.0 , 79.0 , 36.5 
2010, 17.0 , 280.0 , 14.0 , 22.0 , 60.0 , 43.0 , 24.0 , 3.1 , 29.0 , 42.0 , 34.0 , 590.0 , 15.8 , 32.0 , 19.5 , 42.0 , 1260.0 , 134.0 , 71.7 , 120.0 , 473.0 , 2.5 , 6.8 , 11.7 , 33.0 , 200.0 , 5550.0 , 61.0 , 31.9 
