index,"Acidity, (H+)",Dissolved oxygen (DO),Specific conductance,"Temperature, water",pH
0,1.00E-05,0.4,378,8,8.4
1,0.0001,11.6,365,7.5,8.4
2,1.00E-05,11.7,378,24,8.5
3,0,11.7,356,7.5,8.5
4,0,8,379,8,7.1
5,4.00E-05,11.6,460,7.5,8.5
6,0,11.4,360,7.5,8.5
7,1.00E-05,4.2,378,24.5,8.5
8,0,11.7,432,7.5,8.5
9,8.00E-05,0.3,372,8,8
10,0,7.6,378,7.5,8.5
11,0,8.4,378,7.5,7.4
12,0,11.6,378,7.5,8.5
13,0,7.2,378,22.5,8.5
14,0,5.8,378,24,8.3
15,0,11.7,425,8,7.4
16,0,11.6,378,7.5,7
17,0,11.7,363,8,8.5
18,0,11.8,362,24.5,8.4
19,0,8.3,378,24,8.5
20,1.00E-05,0.6,378,7.5,8.4
21,0,11.7,354,23.5,8.4
22,0,0.4,353,24.5,8.3
23,0,7.7,378,7.5,8.5
24,0.00013,7.7,353,24,8.4
25,2.00E-05,11.7,353,17.5,8.5
26,0,11.7,361,24,7
27,1.00E-05,11.8,378,17,8.5
28,0,8.4,378,20.5,8.5
29,0,1.4,378,8,8.4
30,0,11.4,378,7.5,8.5
31,0,11.6,378,8,8.5
32,0,11.6,357,24,8.5
33,0,7.5,378,15.5,8.5
34,1.00E-05,8.5,448,8,8.4
35,0,11.7,378,23,8.5
36,0,8.3,377,24,8.4
37,0,11.8,354,8,6.9
38,0,11.8,378,24,8.5
39,0,11.8,378,14,8.5
40,0,7.8,360,24.5,8.4
41,0,5.3,354,7.5,8.2
42,0,0.2,378,7.5,8
43,0,8.5,360,23.5,8.4
44,6.00E-05,0.3,405,24,7.7
45,0,11.8,367,24,7.2
46,0.0001,11.6,378,7.5,8.4
47,0,7.4,353,7.5,8.4
48,0,11.6,378,8,8.3
49,0,11.5,378,24,8.5
50,4.00E-05,11.8,377,7.5,8.5
