IRSEX,MJDAY30A,MJAGE,MJMONSMOKE,MJMONVAPE,MJMONEAT
1,91,991,91,91,91
1,93,17,93,93,93
2,91,991,91,91,91
1,91,991,91,91,91
1,93,15,93,93,93
1,91,991,91,91,91
1,25,18,1,1,2
1,91,991,91,91,91
2,91,991,91,91,91
2,2,14,1,2,2
1,91,991,91,91,91
2,91,991,91,91,91
1,91,991,91,91,91
2,91,991,91,91,91
2,91,991,91,91,91
1,93,16,93,93,93
2,91,991,91,91,91
2,91,991,91,91,91
1,91,991,91,91,91
1,30,14,1,2,2
1,28,24,1,1,1
1,30,16,1,1,1
1,93,18,93,93,93
1,91,991,91,91,91
2,91,991,91,91,91
2,91,991,91,91,91
1,91,991,91,91,91
2,91,991,91,91,91
1,93,27,93,93,93
1,30,13,1,2,2
2,93,20,93,93,93
2,91,991,91,91,91
1,21,12,1,1,1
1,91,991,91,91,91
1,91,991,91,91,91
1,91,991,91,91,91
2,91,991,91,91,91
1,5,17,1,2,2
2,91,991,91,91,91
2,30,26,1,1,1
1,91,991,91,91,91
2,93,17,93,93,93
1,93,12,93,93,93
1,10,18,1,1,2
1,93,17,93,93,93
1,93,23,93,93,93
1,91,991,91,91,91
2,93,16,93,93,93
1,91,991,91,91,91
1,91,991,91,91,91
1,3,17,1,2,2
2,91,991,91,91,91
1,91,991,91,91,91
2,2,20,1,2,1
2,91,991,91,91,91
1,30,14,1,1,2
2,91,991,91,91,91
2,93,17,93,93,93
1,93,23,93,93,93
2,91,991,91,91,91
1,93,16,93,93,93
1,30,13,1,1,1
2,28,17,1,1,1
1,93,15,93,93,93
2,93,30,93,93,93
1,93,18,93,93,93
1,91,991,91,91,91
1,6,13,1,2,2
1,25,18,1,1,2
1,91,991,91,91,91
2,91,991,91,91,91
2,93,14,93,93,93
2,6,19,1,2,2
1,93,14,93,93,93
2,91,991,91,91,91
2,93,16,93,93,93
1,91,991,91,91,91
2,93,15,93,93,93
1,91,991,91,91,91
1,91,991,91,91,91
2,91,991,91,91,91
1,93,16,93,93,93
1,93,12,93,93,93
2,91,991,91,91,91
1,91,991,91,91,91
2,91,991,91,91,91
2,93,21,93,93,93
1,30,12,1,2,2
2,3,35,2,2,1
2,14,14,1,1,2
1,91,991,91,91,91
1,91,991,91,91,91
1,91,991,91,91,91
2,98,998,98,98,98
1,91,991,91,91,91
2,91,991,91,91,91
2,91,991,91,91,91
1,91,991,91,91,91
2,30,15,1,1,2
1,93,16,93,93,93
2,30,14,1,1,2
1,93,994,93,93,93
2,93,18,93,93,93
2,93,42,93,93,93
1,93,16,93,93,93
2,91,991,91,91,91
2,91,991,91,91,91
1,91,991,91,91,91
2,91,991,91,91,91
1,91,991,91,91,91
2,91,991,91,91,91
1,93,33,93,93,93
2,91,991,91,91,91
1,91,991,91,91,91
1,91,991,91,91,91
1,91,991,91,91,91
2,91,991,91,91,91
1,93,20,93,93,93
1,91,991,91,91,91
1,91,991,91,91,91
2,98,13,98,98,98
1,91,991,91,91,91
2,93,20,93,93,93
1,91,991,91,91,91
2,30,17,1,2,2
1,93,16,93,93,93
2,91,991,91,91,91
2,91,991,91,91,91
2,93,20,93,93,93
1,30,24,1,2,2
2,91,991,91,91,91
1,91,991,91,91,91
2,2,18,1,2,2
2,91,991,91,91,91
2,91,991,91,91,91
1,91,991,91,91,91
2,91,991,91,91,91
2,93,18,93,93,93
1,91,991,91,91,91
1,91,991,91,91,91
2,91,991,91,91,91
1,27,16,1,1,2
1,91,991,91,91,91
2,91,991,91,91,91
1,91,991,91,91,91
1,91,991,91,91,91
2,93,17,93,93,93
1,93,26,93,93,93
1,93,19,93,93,93
2,91,991,91,91,91
