Time_Seconds,Heart_Rate_BPM,SpO2_Percent,Stress_Score
0,73.49,95.67,19.16
10,71.83,95.42,16.72
20,74.42,97.55,22.05
30,77.29,97.83,27.28
40,72.26,95.13,12.4
50,72.5,98.74,20.46
60,78.17,95.21,21.63
70,75.98,97.17,24.08
80,72.5,97.84,20.85
90,75.78,98.48,18.3
100,72.99,97.86,18.92
110,73.22,98.21,17.1
120,75.58,96.36,25.54
130,69.35,98.26,18.82
140,70.14,95.32,26.66
150,73.86,98.58,20.3
160,72.74,97.19,17.26
170,76.94,98.27,15.72
180,73.5,96.81,13.19
190,72.21,97.57,13.55
200,81.07,97.11,24.5
210,76.22,97.93,23.52
220,77.31,95.33,15.6
230,73.05,95.24,23.8
240,75.91,95.99,19.43
250,78.09,95.64,22.82
260,74.51,98.49,27.25
270,79.3,95.88,26.31
280,76.57,98.9,20.55
290,77.7,96.35,18.52
300,76.97,95.73,13.18
310,84.53,98.16,21.94
320,79.13,97.63,21.81
330,76.18,96.99,17.52
340,82.01,97.22,23.28
350,76.07,97.88,21.73
360,80.54,95.91,22.32
370,74.21,98.99,18.08
380,76.28,98.9,22.19
390,81.03,97.6,25.18
400,82.82,95.8,19.77
410,81.29,97.72,29.16
420,80.59,95.29,22.84
430,80.19,95.12,23.15
440,76.81,96.03,24.56
450,79.24,96.85,23.63
460,80.17,98.47,26.88
470,84.86,97.91,26.09
480,82.86,97.97,21.69
490,76.68,96.7,23.12
500,83.07,96.38,19.65
510,81.07,96.48,23.86
520,80.32,98.95,22.99
530,84.3,95.16,23.89
540,85.68,98.47,24.76
550,85.49,97.31,17.67
560,80.28,96.75,20.92
570,81.98,97.9,24.16
580,84.0,96.95,25.24
590,86.02,98.49,21.3
600,81.75,98.6,28.76
610,82.71,96.69,20.62
620,80.03,96.11,26.89
630,79.84,97.37,24.64
640,85.93,98.65,22.79
650,87.63,95.84,33.15
660,83.41,97.49,19.59
670,86.69,97.53,29.35
680,84.82,97.93,28.93
690,81.85,95.53,21.06
700,84.91,97.86,30.53
710,88.48,98.64,25.39
720,83.79,95.72,25.67
730,88.62,95.95,27.49
740,76.09,98.89,20.9
750,86.44,95.72,28.82
760,84.25,98.42,27.87
