year,china,india,mexico,turkey
1961,63000,389000,17177,10000
1962,65000,425000,16533,10000
1963,66000,490000,18534,10000
1964,70000,475000,20633,10000
1965,78000,364000,22403,10000
1966,80000,418000,22494,10000
1967,80000,501000,20968,10000
1968,85000,399000,23170,13000
1969,88000,395000,22833,9000
1970,90000,520400,20811,9000
1971,94000,493900,20806,10000
1972,96000,411700,28362,7000
1973,99000,497000,32626,7000
1974,100000,441200,34695,14000
1975,105000,526100,29300,4500
1976,108000,419400,29132,11000
1977,110000,543300,37480,10000
1978,112000,565700,41439,10000
1979,116000,507600,37212,10000
1980,118000,509100,28125,10000
1981,120000,514700,28727,10000
1982,125000,538900,41002,10000
1983,130000,566500,17939,10000
1984,135000,630500,36259,10000
1985,140000,877400,23499,14000
1986,145000,629200,37659,26000
1987,150000,579800,46709,20000
1988,152000,680000,49677,21000
1989,156000,801500,65345,21000
1990,160000,719000,43324,24000
1991,164000,617500,32002,21000
1992,168000,862100,81560,16000
1993,172000,800100,68848,15000
1994,180000,794700,44154,14866.99
1995,175000,810000,53797,14000
1996,180000,1066000,44825,15000
1997,200000,870100,77466,14000
1998,205000,1043200,55000,16000
1999,215000,1052800,56273.93,16486.86
2000,212000,983700,56539.65,17000
2001,215000,1069000,56896.6,20000
2002,220000,896900,57305.94,20212.47
2003,230000,1235700,56500,21300.91
2004,235000,1185500,57000,24286.44
2005,240000,1014600,58000,17381.11
2006,245000,1234100,58200,17179.58
2007,250000,1294150,60000,16570.36
2008,252000,1269850,59236.57,16021.52
2009,260000,1202940,59509.05,15697.59
2010,265000,1223400,59786.08,15000
2011,277815.73,1276301,60059.83,15817.92
2012,290000,1304000,60000,16500
2013,300000,1492000,60000,16450.31
2014,307286.89,1492000,60140.22,16545.45
2015,305809.44,1605000,60382.34,16258.06
2016,309074.98,1520390,60383.57,16304.29
2017,316117.85,2096000,60372.43,16303.49
2018,323421.11,2149000,60611.36,16311.99
2019,331178.57,1743000,60737.88,16348.34
2020,323572.51,1835000,60922.83,16391.06
2021,326057.39,2049000,61241.37,16405.93
2022,326936.16,1874000,61037.37,16251.79
2023,325522.02,2782000,61188.99,16188.73
2024,326171.86,2909844,61340.61,16150.87
