YearBuilt,SquareFootage,SalePrice,Distance,TaxRate,Bedrooms
2001,1766,404446,33.33,2.06,1
1964,1648,358850,17.8,1.87,4
2021,1907,592932,10.7,1.73,3
2010,4232,911547,25.07,1.97,5
1970,1488,269290,28.56,1.04,2
2024,947,434133,7.51,1.81,4
2024,1141,444281,7.54,1.09,2
1973,3323,681548,2.43,2.37,4
1952,1886,348845,29.72,0.92,3
1971,2524,484185,26.89,1.53,3
2002,2183,572357,19.51,1.98,3
1951,3408,613235,33.92,1.58,6
1979,1126,258215,32.42,0.96,3
1987,2592,639125,23.83,1.74,1
1951,2559,433013,34.86,1.89,1
2013,4012,956467,9.03,2.0,6
2009,1789,574097,5.36,1.43,5
1970,3062,669002,11.52,1.76,2
1982,3282,803276,3.23,1.57,4
2007,1751,447852,21.72,1.94,4
1971,1522,252655,37.53,1.79,6
1998,4189,1003972,2.53,1.69,1
2008,2879,725445,5.76,1.22,4
1991,3517,793829,18.64,0.8,1
2009,3132,686485,37.42,1.1,5
1964,4176,836877,13.33,1.0,2
2011,1228,405730,20.78,1.56,5
2011,2300,636649,2.62,1.84,6
1996,1085,363585,6.79,1.16,3
2011,4015,831431,39.48,2.4,3
2000,4295,866989,38.64,0.81,3
2004,3890,942288,1.19,2.11,5
2013,2865,645870,38.12,1.86,4
1952,1568,301088,25.93,1.44,2
2000,3437,759683,34.85,0.89,3
1956,2194,443568,18.73,1.87,6
1970,4046,843941,21.11,1.46,6
2022,3857,936303,20.07,2.39,3
1988,993,328023,27.01,1.72,3
1967,3349,733097,6.45,2.4,2
1953,1787,418910,2.17,1.17,3
2009,1936,585065,13.01,2.03,2
1963,2961,575990,28.48,1.85,6
1958,4093,873757,8.87,2.06,3
2002,2501,601549,27.26,1.16,5
1951,1746,217534,38.83,1.93,5
2009,1630,539809,4.66,1.65,6
2020,2720,677054,27.23,2.06,2
1993,4135,902577,18.31,1.36,5
1957,3772,672583,34.86,2.31,2
1996,854,301551,7.91,0.94,5
1984,1599,390619,28.01,2.17,5
1985,1577,353843,33.69,2.26,2
1999,2281,520674,37.84,2.19,4
1953,2701,458129,27.65,1.67,5
1951,3009,590284,20.39,1.55,3
1955,4251,792684,25.1,2.49,6
2003,2934,639335,34.89,1.19,4
1953,854,166895,23.25,1.73,2
2003,4347,1041544,2.19,1.94,4
2012,2623,586955,37.31,1.99,1
1967,2001,374820,27.89,1.15,1
1993,4262,888594,27.38,1.91,5
1983,4220,920200,9.41,2.19,5
2023,3879,891244,26.7,0.89,3
2011,1632,409281,16.36,2.35,6
1963,1112,249693,26.4,0.85,4
1997,3606,856114,5.16,1.41,1
1964,2658,486402,26.66,0.83,5
2021,2807,659950,39.98,0.93,6
2011,2806,775998,2.88,2.35,4
1989,3290,641527,39.11,1.4,5
2002,2590,612868,16.87,1.52,5
1973,1127,230608,34.96,1.17,1
1975,3925,765650,31.51,1.82,1
2009,3608,845633,23.11,1.81,5
1990,4110,830058,29.8,1.43,2
1978,4100,817324,35.26,1.37,5
1964,3426,688257,16.76,2.3,6
1994,3922,846907,13.75,1.45,5
2014,4480,952348,27.04,1.64,3
2020,4475,971290,32.51,1.28,3
1958,3854,708435,30.73,2.14,3
