Date,Month,AvgTemp_F,MaxTemp_F,MinTemp_F,Precipitation_in,WindSpeed_mph,Humidity_pct
2025-01-01,1,27.2,34.4,20.4,0.0,4.9,70.2
2025-01-02,1,23.9,38.5,13.9,0.0,4.5,56.8
2025-01-03,1,27.7,32.8,18.5,0.0,6.8,60.9
2025-01-04,1,32.0,46.7,17.9,0.0,10.9,60.4
2025-01-05,1,23.1,28.6,14.5,0.0,12.3,57.0
2025-01-06,1,23.1,37.0,12.3,0.01,12.6,64.3
2025-01-07,1,32.1,42.4,20.8,0.0,10.1,63.9
2025-01-08,1,28.0,42.9,22.8,0.1,9.6,43.3
2025-01-09,1,21.7,27.5,10.1,0.0,8.4,67.5
2025-01-10,1,26.8,37.3,20.0,0.03,9.0,43.5
2025-01-11,1,21.7,36.4,7.1,0.01,5.1,64.8
2025-01-12,1,21.7,31.9,15.2,0.0,4.3,65.3
2025-01-13,1,25.2,36.5,16.1,0.0,6.8,47.3
2025-01-14,1,14.4,26.4,8.6,0.0,6.4,52.5
2025-01-15,1,15.4,24.9,0.4,0.0,5.6,46.7
2025-01-16,1,21.2,32.5,11.2,0.11,9.1,53.6
2025-01-17,1,19.0,29.8,8.0,0.0,10.0,52.6
2025-01-18,1,25.6,39.7,20.0,0.0,7.4,61.1
2025-01-19,1,19.6,25.0,7.1,0.0,11.7,65.1
2025-01-20,1,17.1,24.9,10.0,0.07,3.9,65.5
2025-01-21,1,31.5,46.1,17.6,0.0,6.8,49.6
2025-01-22,1,23.2,37.1,16.1,0.01,5.3,52.2
2025-01-23,1,24.7,34.2,17.8,0.0,1.9,40.2
2025-01-24,1,17.3,28.5,11.9,0.0,7.3,46.9
2025-01-25,1,21.8,29.6,12.1,0.0,7.3,60.9
2025-01-26,1,25.2,32.1,14.5,0.0,12.3,65.9
2025-01-27,1,19.0,28.6,13.3,0.03,9.7,42.8
2025-01-28,1,26.7,35.3,14.0,0.06,4.8,47.7
2025-01-29,1,22.0,32.8,12.4,0.02,13.5,52.0
2025-01-30,1,23.6,29.4,13.4,0.0,11.7,54.3
2025-01-31,1,22.2,37.0,12.8,0.0,9.8,45.3
2025-02-01,2,34.6,49.5,25.6,0.03,7.5,55.0
2025-02-02,2,25.5,37.4,14.9,0.16,5.3,47.6
2025-02-03,2,20.4,30.8,13.8,0.0,7.2,51.1
2025-02-04,2,30.0,38.1,23.1,0.0,11.6,55.3
2025-02-05,2,19.9,33.1,6.3,0.0,14.1,50.8
2025-02-06,2,27.3,39.1,12.8,0.07,13.1,47.1
2025-02-07,2,16.6,23.2,7.9,0.0,7.1,49.5
2025-02-08,2,20.0,34.1,12.3,0.0,5.3,49.5
2025-02-09,2,27.8,41.0,16.4,0.0,9.1,47.0
2025-02-10,2,30.7,45.2,21.6,0.0,3.4,47.7
2025-02-11,2,28.1,40.4,22.8,0.0,9.8,62.4
2025-02-12,2,26.9,38.0,20.3,0.0,8.4,53.9
2025-02-13,2,26.2,35.4,14.0,0.0,7.6,46.9
2025-02-14,2,20.6,34.9,9.0,0.1,4.2,54.6
2025-02-15,2,24.6,38.3,19.3,0.0,10.6,46.2
2025-02-16,2,26.2,31.6,18.9,0.0,7.6,58.1
2025-02-17,2,34.0,39.3,26.7,0.07,5.7,51.5
2025-02-18,2,30.7,39.5,19.0,0.0,0.7,47.5
2025-02-19,2,20.5,33.6,15.3,0.0,9.3,51.8
2025-02-20,2,31.2,46.1,25.1,0.0,14.7,35.5
2025-02-21,2,27.9,34.4,14.9,0.0,14.5,38.9
2025-02-22,2,26.8,37.7,20.0,0.12,8.2,38.2
2025-02-23,2,33.5,42.3,22.0,0.04,7.8,48.7
2025-02-24,2,35.9,50.6,28.5,0.0,11.1,61.3
2025-02-25,2,35.7,49.2,29.7,0.0,6.7,65.2
2025-02-26,2,27.2,40.6,19.8,0.08,10.7,52.3
2025-02-27,2,30.2,39.9,18.0,0.0,12.2,51.1
2025-02-28,2,33.7,42.9,20.2,0.0,13.6,32.5
2025-03-01,3,37.3,45.0,24.0,0.04,9.7,42.5
2025-03-02,3,30.4,35.9,21.4,0.0,9.4,40.4
2025-03-03,3,32.2,45.8,20.5,0.0,7.5,41.6
2025-03-04,3,27.9,41.1,20.9,0.02,7.7,45.1
2025-03-05,3,27.9,42.9,19.9,0.0,9.5,42.6
